,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
7,96,-0.000494766,0.040270951,0.05505858,-0.604022774,-0.21984631,0.766044443,15740.16308
140,115,-0.011703667,0.066491306,0.065234601,-0.433012702,0.75,0.5,19938.27518
41,170,-0.00070426,0.047163062,0.027540015,-0.321393805,-0.116977778,-0.939692621,29354.27257
112,192,-0.013921953,0.055389594,0.06528762,-0.604022774,0.21984631,0.766044443,19450.82356
92,340,-0.006100621,0.06471613,0.05064223,-0.433012702,0.75,0.5,19618.17017
5,364,0.003471017,0.039384518,0.018724782,-0.171010072,-0.96984631,-0.173648178,18434.73887
66,386,-0.009407742,0.055487093,0.051823571,-0.604022774,0.21984631,0.766044443,23883.4705
47,388,-0.008129513,0.054180317,0.049072791,-0.813797681,0.296198133,0.5,24591.02498
194,392,-0.000503699,0.048397969,0.018508283,0,0,-1,23368.11017
225,393,0.000814472,0.048546735,0.015486839,0,0,-1,21363.20311
285,411,-0.000324559,0.057396822,0.022699552,-0.321393805,0.116977778,-0.939692621,20577.94838
392,412,-0.001949036,0.055200487,0.023626246,0,0,-1,23104.61598
256,415,0.001146571,0.054173227,0.018925115,0,0,-1,24438.78651
356,424,-0.000577953,0.054677669,0.021293901,0,0,-1,22595.43375
322,437,0.001799451,0.059398297,0.022404443,0,0,-1,19674.05133
418,442,-0.000703737,0.051769618,0.019873895,-0.059391175,0.336824089,-0.939692621,23518.12735
429,447,-0.01207749,0.058736037,0.059082679,-0.64278761,7.87E-17,0.766044443,17142.91468
481,478,-0.003397872,0.058170311,0.029898146,-0.321393805,0.116977778,-0.939692621,25907.25731
517,479,-0.00202595,0.061096251,0.028725242,0,0,-1,21800.85495
551,480,-0.002652742,0.058283053,0.027246729,0,0,-1,25219.31838
637,485,-0.002854937,0.052876923,0.025136858,-0.171010072,0.296198133,-0.939692621,25987.82037
675,494,-0.002942748,0.05568495,0.025988445,-0.321393805,0.116977778,-0.939692621,25380.37501
609,501,-0.002142284,0.050165247,0.024531258,-0.171010072,-0.296198133,-0.939692621,26262.61029
577,503,-0.001883285,0.048796006,0.026462808,-0.171010072,-0.296198133,-0.939692621,25287.81228
728,517,-3.21E-05,0.059977017,0.024282005,0,0,-1,20310.0694
756,518,-0.001410644,0.060088634,0.026158163,-0.26200263,0.21984631,-0.939692621,20923.42999
