,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
26,9,-0.007129445,0.071206227,0.062003516,-0.866025404,1.06E-16,0.5,8401.645799
38,10,-0.008913908,0.07021708,0.064228825,-0.866025404,-0.5,6.12E-17,13843.06914
0,11,-0.007490105,0.072157204,0.065187573,-0.433012702,0.75,0.5,9726.058113
8,64,-0.005741233,0.071148671,0.058971532,-0.433012702,0.75,0.5,10898.25982
17,65,-0.004665206,0.070892677,0.05695276,-0.75,0.433012702,0.5,11818.37796
49,66,-0.006182137,0.069725499,0.057268832,-0.75,-0.433012702,-0.5,16512.79754
55,67,-0.000533488,0.030133218,0.010771919,-0.5,-0.866025404,6.12E-17,14013.357
74,68,-0.000138736,0.029394388,0.007890466,-0.433012702,-0.75,-0.5,17088.22181
116,69,0.000814605,0.02759134,0.009716917,-1.59E-16,-0.866025404,-0.5,17119.23211
143,87,-0.000315941,0.031621587,0.006493952,-1.84E-16,-1,6.12E-17,15437.25459
162,88,0.00114093,0.029631425,0.006192444,-0.75,0.433012702,-0.5,7575.831685
130,90,-0.001710593,0.034197226,0.006936724,-1.59E-16,-0.866025404,-0.5,18242.29128
97,94,0.001661781,0.039082255,0.056662932,-1.59E-16,-0.866025404,0.5,16760.13901
89,95,-0.001005515,0.039631873,0.058519002,-1.84E-16,-1,6.12E-17,17845.81295
176,96,-0.000494766,0.040270951,0.05505858,-0.433012702,-0.75,0.5,13824.15628
186,115,-0.011703667,0.066491306,0.065234601,-0.433012702,0.25,0.866025404,13284.48179
214,116,-0.012413685,0.064510159,0.064524479,-0.866025404,-0.5,6.12E-17,11903.50826
201,143,0.005709123,0.039390378,0.019593423,-1.59E-16,-0.866025404,0.5,16688.37684
257,160,0.002813382,0.044187527,0.027467342,-0.5,-0.866025404,6.12E-17,17549.6652
224,161,0.004524421,0.043048736,0.026200306,-1.59E-16,-0.866025404,0.5,16359.54769
238,162,0.004983847,0.043508746,0.028599646,-1.59E-16,-0.866025404,0.5,11994.00546
270,169,0.000998744,0.045678522,0.028987834,-0.75,-0.433012702,0.5,14010.8305
290,170,-0.00070426,0.047163062,0.027540015,-1.59E-16,-0.866025404,0.5,19504.57655
310,171,0.000948274,0.045394227,0.026009358,-1.59E-16,-0.866025404,0.5,13200.80249
326,172,-0.004195399,0.057848778,0.036893759,-0.75,-0.433012702,0.5,19297.96855
371,173,-0.004078443,0.056779016,0.03504834,-0.25,-0.433012702,-0.866025404,22147.49614
410,174,-0.004199527,0.054883171,0.037000943,-0.433012702,-0.75,-0.5,23476.46015
339,175,-0.002903088,0.071453996,0.055657376,-0.433012702,0.75,0.5,13646.22909
346,176,-0.003478578,0.072363243,0.058004595,-0.433012702,0.75,0.5,12983.54863
388,192,-0.013921953,0.055389594,0.06528762,-0.5,0.866025404,6.12E-17,13480.82222
418,193,-0.013620272,0.052685082,0.065718181,-0.433012702,-0.75,0.5,13029.73383
372,201,0.005054997,0.075942613,0.059154719,-0.433012702,0.75,0.5,10251.2055
376,202,0.00310863,0.074863754,0.057184212,-0.433012702,0.75,0.5,11794.3423
380,203,0.001657142,0.075379007,0.059316851,-0.433012702,0.75,0.5,10945.66564
440,204,0.002034475,0.03960691,0.053423714,-1.59E-16,-0.866025404,0.5,13532.14325
432,205,0.004420525,0.03914199,0.053083941,-1.84E-16,-1,6.12E-17,16009.74398
464,206,0.004146193,0.038674843,0.055439483,-1.84E-16,-1,6.12E-17,16943.12719
477,207,-0.006183247,0.067207985,0.053786799,-0.75,-0.433012702,-0.5,18287.51184
456,208,-0.004251283,0.068429664,0.052673116,-0.75,-0.433012702,-0.5,18898.36577
487,209,-0.00516601,0.066665627,0.051418144,-0.75,-0.433012702,-0.5,18222.15002
497,230,0.0038858,0.045186937,0.005931475,0,0,-1,8217.268457
526,241,-0.000201074,0.042209052,0.006363786,-0.25,-0.433012702,-0.866025404,10262.77439
503,249,0.002989365,0.046418436,0.00793115,-0.25,0.433012702,-0.866025404,9025.591331
530,250,0.001319756,0.044671614,0.007218157,-0.75,0.433012702,-0.5,9542.299678
566,261,0.005394603,0.027287826,0.005939582,-0.25,-0.433012702,-0.866025404,15025.41962
585,263,0.004894012,0.025488023,0.007834823,-0.433012702,-0.75,-0.5,12530.48889
512,274,0.005360777,0.046914451,0.007439988,-0.433012702,0.25,-0.866025404,7275.305695
540,276,0.003815524,0.048010595,0.009650515,-0.433012702,0.75,-0.5,6556.598706
601,277,-0.00228371,0.037335314,0.007741764,-0.25,0.433012702,-0.866025404,8936.709141
656,279,-0.003795233,0.057080094,0.032681618,-0.5,-0.866025404,6.12E-17,19170.88157
625,280,-0.003628708,0.059092399,0.034490332,-0.5,-0.866025404,6.12E-17,22212.7845
548,294,-0.001457673,0.074174464,0.059325621,-0.433012702,0.75,0.5,11045.20598
569,295,-0.001475025,0.072950356,0.056798887,-0.433012702,0.75,0.5,12661.87886
612,296,-0.000974713,0.043347541,0.009443969,-0.75,-0.433012702,-0.5,11045.3377
697,297,0.002213278,0.027385721,0.007316515,-0.25,-0.433012702,-0.866025404,14955.85401
679,298,0.002763551,0.025983507,0.009575088,-0.25,-0.433012702,-0.866025404,16497.81779
636,303,0.0009517,0.046339732,0.010192239,-0.866025404,-0.5,6.12E-17,12533.83765
730,308,-0.003123345,0.051611289,0.032219078,-1.59E-16,-0.866025404,0.5,24826.10714
795,309,-0.003458444,0.05233844,0.035170101,-0.433012702,-0.25,-0.866025404,19662.24065
774,310,-0.00382157,0.054213606,0.032536447,-0.25,-0.433012702,-0.866025404,21915.96091
704,327,-0.002409713,0.035007384,0.009824644,-0.5,-0.866025404,6.12E-17,16286.15058
812,328,-0.001645038,0.032007929,0.009020669,-9.18E-17,-0.5,-0.866025404,16585.81841
722,329,-0.001457408,0.032923833,0.011818726,-0.433012702,-0.75,-0.5,18654.79679
752,330,-0.001715414,0.041206308,0.012311267,-0.75,-0.433012702,-0.5,10363.66606
813,331,-0.00101384,0.044373646,0.012557882,-0.75,-0.433012702,0.5,8019.682686
856,332,-0.001902338,0.040444762,0.008583012,-0.433012702,-0.75,-0.5,15932.2794
839,339,-0.004579102,0.06573426,0.049091294,-0.75,-0.433012702,-0.5,18623.26774
849,340,-0.006100621,0.06471613,0.05064223,-0.75,-0.433012702,-0.5,17464.61079
828,342,0.005672292,0.026996462,0.013770982,-0.5,-0.866025404,6.12E-17,12719.65987
881,343,0.00378349,0.025588997,0.011803893,-0.433012702,-0.75,-0.5,16375.25521
866,347,0.002241379,0.048710439,0.012493946,-0.75,-0.433012702,-0.5,11403.68773
883,348,9.57E-05,0.046717405,0.013572443,-0.75,-0.433012702,0.5,10785.8565
910,349,-0.002268546,0.038140137,0.010887706,-0.866025404,-0.5,6.12E-17,10333.22795
899,350,0.005076188,0.049669866,0.011560916,-0.433012702,0.75,-0.5,8462.952415
932,351,-0.001566337,0.035805348,0.012789547,-0.75,0.433012702,-0.5,19167.53883
895,361,5.15E-05,0.036421288,0.015249477,-1.59E-16,-0.866025404,0.5,17702.84724
923,362,0.002332321,0.03743444,0.017033121,-0.866025404,-0.5,6.12E-17,9610.539784
936,363,5.57E-05,0.038526505,0.015895955,-0.433012702,-0.75,0.5,13343.0977
957,364,0.003471017,0.039384518,0.018724782,-1.84E-16,-1,6.12E-17,16256.31921
945,365,0.001100281,0.039872218,0.017370854,-1.59E-16,-0.866025404,0.5,16467.07127
986,383,0.000853202,0.043714974,0.020221548,-1.84E-16,-1,6.12E-17,17010.53047
964,384,0.000138129,0.042513993,0.01747443,-0.5,-0.866025404,6.12E-17,13814.62598
971,385,0.002129391,0.041393753,0.019396752,-1.59E-16,-0.866025404,0.5,20673.91741
1001,386,-0.009407742,0.055487093,0.051823571,-0.433012702,-0.75,-0.5,16033.88572
1012,387,-0.008279542,0.056447756,0.049333844,-0.433012702,-0.75,-0.5,14394.54656
1032,388,-0.008129513,0.054180317,0.049072791,-0.433012702,-0.75,0.5,16846.16908
1051,392,-0.000503699,0.048397969,0.018508283,-0.433012702,-0.75,-0.5,16196.21182
1023,393,0.000814472,0.048546735,0.015486839,-0.25,0.433012702,-0.866025404,8842.644488
1066,394,-0.000111089,0.046350267,0.016287036,-0.25,0.433012702,-0.866025404,10438.04618
1014,408,0.005738521,0.069757216,0.044564027,-0.75,0.433012702,0.5,24252.54551
1078,410,-0.001656921,0.057876617,0.024877911,-0.433012702,-0.75,-0.5,16954.89317
1088,411,-0.000324559,0.057396822,0.022699552,-0.866025404,-0.5,6.12E-17,15503.7229
1115,412,-0.001949036,0.055200487,0.023626246,-0.75,-0.433012702,0.5,13549.92037
1160,413,-0.000505254,0.04632457,0.021023899,-0.433012702,-0.75,0.5,17040.2745
1106,414,-0.000107573,0.045251057,0.018391181,-0.5,-0.866025404,6.12E-17,17686.89161
1142,415,0.001146571,0.054173227,0.018925115,-0.25,-0.433012702,-0.866025404,18161.78641
1150,416,0.003417755,0.05618678,0.01882421,-0.75,-0.433012702,-0.5,21185.10575
1177,417,0.003409917,0.053741522,0.016939504,-0.75,0.433012702,-0.5,17029.79492
1220,424,-0.000577953,0.054677669,0.021293901,-0.433012702,-0.75,-0.5,19534.37685
1196,425,0.001453457,0.056782,0.020718968,-0.433012702,-0.25,-0.866025404,18321.39409
1209,429,0.00429449,0.06106244,0.022544758,-0.25,-0.433012702,-0.866025404,21205.94372
1228,432,-0.013138563,0.055622753,0.062405795,-0.75,0.433012702,0.5,15670.04696
1262,433,-0.012533587,0.056701362,0.060199197,-0.75,-0.433012702,-0.5,9717.56526
1242,434,-0.012194345,0.054359335,0.059705678,-0.75,-0.433012702,0.5,9031.306115
1265,435,0.002683536,0.042518802,0.022009928,-9.18E-17,-0.5,0.866025404,15027.7022
1283,436,0.0037639,0.058563162,0.020680381,-0.75,-0.433012702,-0.5,21590.4215
1300,437,0.001799451,0.059398297,0.022404443,-0.433012702,-0.25,-0.866025404,16212.82625
1373,442,-0.000703737,0.051769618,0.019873895,-9.18E-17,-0.5,-0.866025404,12638.58475
