,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
155,18,-0.011223796,0.016216347,0.046484798,-0.342020143,4.19E-17,0.939692621,15787.13522
138,20,-0.011308794,0.016173188,0.042566907,-0.492403877,-0.852868532,0.173648178,18187.52386
248,21,-0.011106961,0.014876165,0.044614937,-0.866025404,1.06E-16,0.5,15407.82822
98,25,-0.010971632,0.015041497,0.039958525,-0.754406507,-0.633022222,0.173648178,19287.77952
206,26,-0.010981016,0.014130392,0.042582586,-0.813797681,-0.296198133,0.5,16206.85975
55,35,-0.009570417,0.022632172,0.04084364,-0.492403877,0.413175911,0.766044443,24870.63497
29,36,-0.008736235,0.024921726,0.042685483,-0.604022774,0.21984631,0.766044443,25147.54368
4,41,-0.005143166,0.028776357,0.043867983,-0.813797681,0.296198133,0.5,21405.97407
16,43,-0.003199251,0.030185647,0.04492658,-0.433012702,0.75,0.5,17345.13293
287,51,-0.011080096,0.020675402,0.04457166,-0.64278761,7.87E-17,0.766044443,16984.51974
347,63,-0.011113027,0.017952237,0.040708929,-0.64278761,7.87E-17,0.766044443,18690.41919
319,65,-0.010170782,0.022841219,0.043554839,-0.604022774,-0.21984631,0.766044443,17461.69881
382,66,-0.01075468,0.020460987,0.041918218,-0.64278761,7.87E-17,0.766044443,20832.72894
429,67,-0.010399981,0.012310112,0.041280635,-0.754406507,-0.633022222,0.173648178,13890.30615
273,69,-0.002215289,0.02943168,0.042842336,-0.150383733,0.852868532,0.5,26626.96873
482,72,-0.008591151,0.008311287,0.037813075,-0.150383733,-0.852868532,-0.5,16909.95284
509,73,-0.009736898,0.010297607,0.036806125,-0.342020143,4.19E-17,0.939692621,14859.02751
556,103,-0.010214028,0.012429648,0.035460088,-0.492403877,-0.413175911,0.766044443,16508.03351
674,104,-0.010371438,0.012518196,0.038306322,-0.492403877,-0.852868532,0.173648178,22563.67044
639,105,-0.010511908,0.014878996,0.036671095,-0.492403877,-0.852868532,-0.173648178,19339.05686
591,120,-0.010719328,0.022969518,0.046261247,-0.604022774,0.21984631,0.766044443,16045.4976
502,170,-0.002132448,0.018381597,0.02491628,-0.342020143,4.19E-17,-0.939692621,26048.20172
776,204,-0.009506583,0.010237328,0.039584067,-0.111618897,-0.633022222,0.766044443,18071.03638
849,207,-0.009899752,0.010348526,0.034490053,-0.433012702,-0.75,0.5,17825.39045
723,216,-0.01000363,-0.003231651,0.024769757,-0.433012702,-0.75,0.5,15362.22906
712,325,-0.000691014,0.016811384,0.022585014,-0.059391175,-0.336824089,-0.939692621,17843.28559
746,340,-0.010149611,0.031526785,0.056630213,-0.433012702,0.75,0.5,15718.47343
887,356,-0.010924384,0.018815663,0.054439079,-0.321393805,-0.556670399,0.766044443,14884.80293
833,377,-0.008324786,-0.000868395,0.02868522,-0.433012702,-0.75,-0.5,15673.64596
913,403,-0.006107646,-0.016227785,0.020816803,-0.321393805,-0.556670399,0.766044443,10162.96179
960,416,-0.00986874,0.017212637,0.034903668,-0.754406507,-0.633022222,-0.173648178,25380.53489
1007,434,-0.009432564,-0.012184303,0.019509293,-0.150383733,-0.852868532,0.5,10948.73158
1091,528,-0.010996391,0.021070048,0.060295288,-0.171010072,-0.96984631,-0.173648178,12902.9607
1129,532,-0.008941173,-0.009898427,0.014981913,-0.492403877,-0.852868532,-0.173648178,20642.79415
989,581,-0.003371234,-0.015440935,0.025759542,-0.150383733,-0.852868532,0.5,11117.283
1095,604,-0.010900779,0.025042411,0.050812427,-0.64278761,7.87E-17,0.766044443,12823.4626
1036,611,-0.007676751,-0.008520666,0.026366644,-0.171010072,-0.296198133,0.939692621,7746.988899
1172,655,-0.000584935,-0.007672441,0.008158366,-0.26200263,0.21984631,-0.939692621,10804.59994
1242,658,-0.009232295,0.007638778,0.021668509,-0.433012702,-0.75,-0.5,20486.90029
1310,670,-0.009172318,0.011511004,0.025031239,-0.604022774,-0.21984631,-0.766044443,18544.00121
1192,698,-0.00238424,0.014839313,0.020969419,-0.321393805,-0.556670399,-0.766044443,14949.22224
1225,700,-0.003698998,0.016476432,0.023161557,-0.059391175,-0.336824089,-0.939692621,18946.19757
1287,709,-0.007341747,0.016227629,0.026782731,-0.171010072,-0.296198133,-0.939692621,18533.3538
1362,711,-0.008323497,0.013988741,0.02578094,-0.663413948,-0.556670399,-0.5,17708.67588
1344,726,-0.004981392,0.017661618,0.025676018,-0.26200263,-0.21984631,-0.939692621,22603.01038
1407,729,-0.01003281,0.009758839,0.027232375,-0.492403877,-0.413175911,-0.766044443,23566.05558
1465,734,-0.009558105,0.01252273,0.027736159,-0.433012702,-0.75,-0.5,15986.03017
1482,736,-0.011893353,0.026962506,0.061471898,-0.321393805,0.116977778,0.939692621,14770.73036
1445,747,-0.008783275,0.014731399,0.027970372,0,0,-1,17221.73067
1558,761,-0.010032883,0.014574585,0.033676632,-0.925416578,-0.336824089,0.173648178,19664.04696
1526,773,-0.00968414,0.014036538,0.030480891,-0.754406507,-0.633022222,-0.173648178,18780.76952
1593,774,-0.010244733,0.020210858,0.039163761,-0.663413948,-0.556670399,0.5,24044.60747
1618,786,-0.006430018,0.012700739,0.055456329,-0.342020143,4.19E-17,0.939692621,12520.34559
1655,789,-0.009114366,0.016810508,0.032015529,-0.754406507,-0.633022222,0.173648178,23445.28116
1740,798,-0.01058955,0.017524112,0.037856959,-0.492403877,-0.852868532,-0.173648178,21454.58271
1751,885,-0.011327951,0.018427787,0.04325977,-0.321393805,0.116977778,0.939692621,16780.62192
1827,888,-0.009134273,0.011715408,0.047554102,-0.813797681,-0.296198133,0.5,15812.13021
1787,938,-0.009570865,0.025163831,0.045379847,-0.64278761,7.87E-17,0.766044443,17448.37703
1711,944,-0.007776555,0.027150847,0.044564396,-0.925416578,-0.336824089,0.173648178,21645.7157
1856,956,-0.008281913,0.016564382,0.029287158,-0.925416578,-0.336824089,-0.173648178,22699.84029
1683,968,-0.006836765,0.029100442,0.046553716,-0.433012702,0.75,0.5,17792.24485
