,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
10,22,-0.001751288,-0.013500715,0.027297707,-0.492403877,-0.852868532,-0.173648178,16169.59093
51,41,-0.005143166,0.028776357,0.043867983,-0.150383733,0.852868532,0.5,14659.69977
73,47,-0.007033667,0.006517639,0.038480602,-0.321393805,0.116977778,0.939692621,27827.81281
31,48,-0.005932712,0.006450623,0.040922638,0,0,1,20058.00984
147,66,-0.01075468,0.020460987,0.041918218,-0.150383733,0.852868532,0.5,15824.10182
138,72,-0.008591151,0.008311287,0.037813075,-0.754406507,0.633022222,-0.173648178,28373.94635
98,73,-0.009736898,0.010297607,0.036806125,-0.492403877,0.413175911,0.766044443,25381.74169
26,91,-0.006692828,-0.01306881,0.025227789,-0.492403877,-0.852868532,-0.173648178,23756.56434
184,92,-0.007971233,-0.012961899,0.023644287,-0.492403877,-0.852868532,-0.173648178,24138.29802
226,93,-0.006841031,-0.014757135,0.023540463,-0.492403877,-0.413175911,-0.766044443,28204.92189
231,104,-0.010371438,0.012518196,0.038306322,-0.492403877,0.413175911,0.766044443,19333.7774
263,105,-0.010511908,0.014878996,0.036671095,-0.492403877,0.852868532,0.173648178,17125.95926
196,115,-8.26E-05,0.003416048,0.038476456,-0.321393805,-0.116977778,0.939692621,21070.24517
293,163,-0.009679187,-0.008565591,0.023749122,-0.492403877,-0.852868532,-0.173648178,26517.19911
340,164,-0.009229333,-0.011498346,0.022488151,-0.663413948,-0.556670399,-0.5,24749.24289
315,165,-0.008059055,-0.011018436,0.02485794,-0.492403877,-0.852868532,-0.173648178,22833.85928
358,207,-0.009899752,0.010348526,0.034490053,-0.433012702,0.75,0.5,23816.59524
384,208,-0.010141341,0.011913107,0.032743927,-0.433012702,0.75,0.5,23787.32953
489,253,-0.004937708,0.001683932,0.014829224,-0.342020143,4.19E-17,-0.939692621,14606.92298
523,257,-0.004569722,0.005728694,0.016375702,-0.321393805,-0.116977778,-0.939692621,15153.26714
441,328,-0.01130702,0.020366134,0.05250895,-0.64278761,7.87E-17,0.766044443,18239.10778
425,403,-0.006107646,-0.016227785,0.020816803,-0.150383733,-0.852868532,-0.5,25433.7192
591,432,-0.010008029,-0.009891485,0.017765487,-0.111618897,-0.633022222,-0.766044443,22108.64572
562,433,-0.008554308,-0.012389704,0.016620653,0,0,-1,19743.04468
628,434,-0.009432564,-0.012184303,0.019509293,-0.111618897,-0.633022222,-0.766044443,21659.37174
668,444,-0.009175303,-0.002880311,0.016456466,-0.171010072,-0.296198133,-0.939692621,22716.77291
767,445,-0.009342032,-0.001032695,0.017761666,-0.604022774,-0.21984631,-0.766044443,27782.14479
724,447,-0.008987763,0.0011697,0.018097222,-0.111618897,0.633022222,-0.766044443,22575.20375
808,448,-0.010199671,-0.000388208,0.019825967,-0.492403877,-0.413175911,-0.766044443,34213.60851
689,451,-0.006428484,-0.014415568,0.01577737,-0.492403877,0.413175911,-0.766044443,22922.42944
839,484,-0.002391843,-0.012762453,0.011280836,-0.111618897,-0.633022222,-0.766044443,24342.081
863,490,-0.003950133,-0.015733385,0.015441809,-0.433012702,-0.75,-0.5,22815.57309
934,507,-0.005301591,-0.016209695,0.017726306,-0.171010072,-0.296198133,-0.939692621,22701.80958
896,526,-0.001185446,-0.017637305,0.018032325,-0.492403877,-0.413175911,-0.766044443,24039.08027
1064,532,-0.008941173,-0.009898427,0.014981913,-0.26200263,0.21984631,-0.939692621,21968.55104
985,533,-0.007430424,-0.00970764,0.012425347,-0.492403877,0.413175911,-0.766044443,18846.13786
964,560,-0.010331594,-0.009584853,0.020770028,-0.321393805,-0.556670399,-0.766044443,25904.70094
1100,562,-0.010658943,-0.007392961,0.018949574,-0.111618897,-0.633022222,-0.766044443,24986.73226
1134,563,-0.010207006,-0.005090725,0.017551476,-0.111618897,-0.633022222,-0.766044443,23033.71642
1021,579,-0.010792016,-0.005061501,0.020283936,-0.433012702,-0.75,-0.5,23844.01056
1247,580,-0.01025261,-0.002798476,0.01890224,0,0,-1,28102.82207
1172,582,-0.010723063,-0.007276909,0.021479938,-0.321393805,-0.556670399,-0.766044443,28369.78071
1193,583,-0.003741151,-0.017417761,0.021677069,-0.111618897,-0.633022222,-0.766044443,16371.9453
1203,592,-0.00455218,-0.013215949,0.026594661,-0.492403877,-0.852868532,0.173648178,16771.00317
1360,648,-0.009970642,0.002173718,0.020453587,-0.342020143,4.19E-17,-0.939692621,23437.04429
1250,655,-0.000584935,-0.007672441,0.008158366,-0.150383733,0.852868532,-0.5,11420.64811
1304,661,-0.006479722,0.011672559,0.020796463,-0.433012702,0.75,-0.5,25733.51546
1423,675,-0.007194393,0.002567513,0.016671956,-0.26200263,0.21984631,-0.939692621,23789.58057
1377,725,-0.009922247,0.009202988,0.032361314,-0.663413948,0.556670399,0.5,24198.54327
1437,740,-0.010129574,0.010859487,0.030046584,-0.433012702,0.75,0.5,21856.47826
1466,761,-0.010032883,0.014574585,0.033676632,-0.433012702,0.75,0.5,20338.87461
1281,784,-0.003473112,0.005226651,0.040990312,-0.321393805,-0.116977778,0.939692621,19874.85942
1499,887,-0.006097283,-0.010967924,0.026700795,-0.492403877,-0.852868532,0.173648178,22469.76801
