,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
34,9,-0.007129445,0.071206227,0.062003516,-0.5,0.866025404,6.12E-17,7453.901363
42,10,-0.008913908,0.07021708,0.064228825,-0.5,0.866025404,6.12E-17,8699.504236
0,11,-0.007490105,0.072157204,0.065187573,-0.433012702,0.75,0.5,11812.83057
23,64,-0.005741233,0.071148671,0.058971532,-0.433012702,0.75,0.5,9520.676116
16,65,-0.004665206,0.070892677,0.05695276,-0.75,0.433012702,0.5,10380.20189
7,66,-0.006182137,0.069725499,0.057268832,-0.433012702,0.75,0.5,15523.48127
72,67,-0.000533488,0.030133218,0.010771919,-0.5,-0.866025404,6.12E-17,14415.68705
102,68,-0.000138736,0.029394388,0.007890466,-0.433012702,-0.75,-0.5,14389.62664
89,69,0.000814605,0.02759134,0.009716917,-0.433012702,-0.75,-0.5,13264.94931
61,94,0.001661781,0.039082255,0.056662932,-0.25,-0.433012702,0.866025404,13295.22064
48,95,-0.001005515,0.039631873,0.058519002,-0.75,-0.433012702,0.5,11979.54231
54,96,-0.000494766,0.040270951,0.05505858,-0.25,-0.433012702,0.866025404,19292.47649
115,114,-0.012684989,0.065341473,0.066714987,-0.433012702,0.25,0.866025404,15795.42239
126,115,-0.011703667,0.066491306,0.065234601,-0.433012702,0.75,0.5,19938.27518
142,116,-0.012413685,0.064510159,0.064524479,-0.866025404,-0.5,6.12E-17,17341.20993
111,143,0.005709123,0.039390378,0.019593423,-0.5,-0.866025404,6.12E-17,15113.99887
159,160,0.002813382,0.044187527,0.027467342,-9.18E-17,-0.5,-0.866025404,12924.04343
149,161,0.004524421,0.043048736,0.026200306,-0.433012702,-0.75,-0.5,10617.14625
166,162,0.004983847,0.043508746,0.028599646,-0.25,-0.433012702,-0.866025404,16072.86857
184,170,-0.00070426,0.047163062,0.027540015,-1.84E-16,-1,6.12E-17,27860.18597
175,171,0.000948274,0.045394227,0.026009358,-0.25,-0.433012702,-0.866025404,14762.23327
176,175,-0.002903088,0.071453996,0.055657376,-0.433012702,0.75,0.5,15045.30768
194,176,-0.003478578,0.072363243,0.058004595,-0.433012702,0.75,0.5,13550.98999
215,192,-0.013921953,0.055389594,0.06528762,-0.5,0.866025404,6.12E-17,23718.37292
225,193,-0.013620272,0.052685082,0.065718181,-0.75,0.433012702,0.5,18356.48164
201,201,0.005054997,0.075942613,0.059154719,-0.433012702,0.75,0.5,6613.038704
206,202,0.00310863,0.074863754,0.057184212,-0.433012702,0.75,0.5,7999.152399
220,203,0.001657142,0.075379007,0.059316851,-0.433012702,0.75,0.5,7511.140092
242,204,0.002034475,0.03960691,0.053423714,-9.18E-17,-0.5,0.866025404,12316.98385
236,205,0.004420525,0.03914199,0.053083941,-0.433012702,-0.75,0.5,11809.23913
250,206,0.004146193,0.038674843,0.055439483,-0.25,-0.433012702,0.866025404,12182.99664
259,207,-0.006183247,0.067207985,0.053786799,-0.75,0.433012702,0.5,12316.23934
269,208,-0.004251283,0.068429664,0.052673116,-0.5,0.866025404,6.12E-17,12077.54883
275,209,-0.00516601,0.066665627,0.051418144,-0.75,0.433012702,0.5,13857.70762
286,249,0.002989365,0.046418436,0.00793115,-0.25,0.433012702,-0.866025404,12806.92827
324,263,0.004894012,0.025488023,0.007834823,-0.433012702,-0.75,-0.5,13564.86409
296,274,0.005360777,0.046914451,0.007439988,-0.5,6.12E-17,-0.866025404,9599.820596
311,276,0.003815524,0.048010595,0.009650515,0,0,-1,11278.06565
339,277,-0.00228371,0.037335314,0.007741764,-0.25,0.433012702,-0.866025404,10283.64596
299,294,-0.001457673,0.074174464,0.059325621,-0.433012702,0.75,0.5,8373.491564
312,295,-0.001475025,0.072950356,0.056798887,-0.433012702,0.75,0.5,10408.72772
349,296,-0.000974713,0.043347541,0.009443969,-0.75,-0.433012702,-0.5,9209.482563
366,298,0.002763551,0.025983507,0.009575088,-0.5,-0.866025404,6.12E-17,14217.80408
362,303,0.0009517,0.046339732,0.010192239,0,0,-1,11763.13071
378,327,-0.002409713,0.035007384,0.009824644,-0.5,-0.866025404,6.12E-17,15895.45426
410,328,-0.001645038,0.032007929,0.009020669,-0.433012702,-0.75,-0.5,13435.41193
394,329,-0.001457408,0.032923833,0.011818726,-0.433012702,-0.75,-0.5,15992.54985
397,330,-0.001715414,0.041206308,0.012311267,-0.433012702,0.75,-0.5,10467.5504
417,331,-0.00101384,0.044373646,0.012557882,-0.866025404,-0.5,6.12E-17,12472.82101
447,332,-0.001902338,0.040444762,0.008583012,-0.866025404,-0.5,6.12E-17,12335.38469
433,339,-0.004579102,0.06573426,0.049091294,-0.866025404,1.06E-16,0.5,8126.481848
439,340,-0.006100621,0.06471613,0.05064223,-0.433012702,0.75,0.5,19618.17017
429,342,0.005672292,0.026996462,0.013770982,-0.5,-0.866025404,6.12E-17,16377.32297
459,343,0.00378349,0.025588997,0.011803893,-1.59E-16,-0.866025404,0.5,18663.25399
474,347,0.002241379,0.048710439,0.012493946,0,0,-1,17906.55464
487,348,9.57E-05,0.046717405,0.013572443,-0.25,0.433012702,-0.866025404,14887.26759
507,349,-0.002268546,0.038140137,0.010887706,-0.866025404,-0.5,6.12E-17,11946.9842
498,350,0.005076188,0.049669866,0.011560916,0,0,-1,14332.27894
477,351,-0.001566337,0.035805348,0.012789547,-0.75,0.433012702,-0.5,17074.76466
480,361,5.15E-05,0.036421288,0.015249477,-1.59E-16,-0.866025404,0.5,15100.14938
500,362,0.002332321,0.03743444,0.017033121,-0.866025404,-0.5,6.12E-17,10105.51051
503,363,5.57E-05,0.038526505,0.015895955,-0.866025404,-0.5,6.12E-17,9711.958849
519,364,0.003471017,0.039384518,0.018724782,-1.84E-16,-1,6.12E-17,24629.56112
521,365,0.001100281,0.039872218,0.017370854,-0.866025404,-0.5,6.12E-17,9751.48037
529,383,0.000853202,0.043714974,0.020221548,-0.75,-0.433012702,-0.5,14741.47762
536,384,0.000138129,0.042513993,0.01747443,-0.75,-0.433012702,-0.5,7494.936826
539,385,0.002129391,0.041393753,0.019396752,-0.5,-0.866025404,6.12E-17,8023.286843
545,386,-0.009407742,0.055487093,0.051823571,-0.866025404,1.06E-16,0.5,21270.01036
555,387,-0.008279542,0.056447756,0.049333844,-0.75,-0.433012702,0.5,14358.64817
562,388,-0.008129513,0.054180317,0.049072791,-0.75,0.433012702,0.5,22535.66571
608,392,-0.000503699,0.048397969,0.018508283,0,0,-1,23368.11017
586,393,0.000814472,0.048546735,0.015486839,0,0,-1,21363.20311
593,394,-0.000111089,0.046350267,0.016287036,-0.25,0.433012702,-0.866025404,14843.1639
576,408,0.005738521,0.069757216,0.044564027,-0.25,0.433012702,-0.866025404,5370.292424
620,410,-0.001656921,0.057876617,0.024877911,0,0,-1,16302.61394
629,411,-0.000324559,0.057396822,0.022699552,-0.433012702,0.25,-0.866025404,19448.31108
669,412,-0.001949036,0.055200487,0.023626246,0,0,-1,23104.61598
653,413,-0.000505254,0.04632457,0.021023899,-0.5,6.12E-17,-0.866025404,12761.46389
640,414,-0.000107573,0.045251057,0.018391181,-0.433012702,-0.75,-0.5,12748.30495
681,415,0.001146571,0.054173227,0.018925115,0,0,-1,24438.78651
693,416,0.003417755,0.05618678,0.01882421,0,0,-1,15975.97468
705,417,0.003409917,0.053741522,0.016939504,0,0,-1,13354.99288
728,424,-0.000577953,0.054677669,0.021293901,0,0,-1,22595.43375
742,425,0.001453457,0.056782,0.020718968,-0.433012702,0.75,-0.5,17590.75514
739,429,0.00429449,0.06106244,0.022544758,0,0,-1,16758.07963
710,432,-0.013138563,0.055622753,0.062405795,-0.5,0.866025404,6.12E-17,14284.59224
755,433,-0.012533587,0.056701362,0.060199197,-0.75,-0.433012702,0.5,8760.605725
767,434,-0.012194345,0.054359335,0.059705678,-0.75,0.433012702,0.5,11940.10416
766,435,0.002683536,0.042518802,0.022009928,-1.59E-16,-0.866025404,-0.5,12415.19309
780,436,0.0037639,0.058563162,0.020680381,-0.25,0.433012702,-0.866025404,16341.53477
814,437,0.001799451,0.059398297,0.022404443,0,0,-1,19674.05133
821,442,-0.000703737,0.051769618,0.019873895,-0.25,0.433012702,-0.866025404,20067.17918
839,443,-0.001865657,0.052352428,0.022636186,-0.25,-0.433012702,-0.866025404,16273.45825
791,444,0.000868694,0.044662461,0.02306075,-0.433012702,-0.75,-0.5,15470.66403
795,446,-0.011767593,0.056260161,0.057902988,-0.75,0.433012702,0.5,17400.46576
