,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,stress_induced
60,8,-0.011388579,0.020418325,0.050092433,-0.433012702,0.25,0.866025404,14969.12702
96,9,-0.01129378,0.017868599,0.048596177,-0.866025404,0.5,6.12E-17,12079.50361
53,10,-0.010988367,0.018158648,0.05161703,-0.75,0.433012702,0.5,10773.60802
0,11,-0.011342216,0.020591324,0.047306988,-0.433012702,0.25,0.866025404,15453.79965
15,12,-0.011410641,0.018469863,0.045746099,-0.433012702,0.75,0.5,13524.76642
40,18,-0.011223796,0.016216347,0.046484798,-0.433012702,0.75,0.5,14421.52789
77,19,-0.01133911,0.016831823,0.044514507,-0.433012702,0.75,0.5,14614.05236
27,20,-0.011308794,0.016173188,0.042566907,-0.433012702,0.75,0.5,13127.90528
147,21,-0.011106961,0.014876165,0.044614937,-0.866025404,0.5,6.12E-17,12302.4079
106,22,-0.001751288,-0.013500715,0.027297707,-0.5,-0.866025404,6.12E-17,20659.86978
181,25,-0.010971632,0.015041497,0.039958525,-0.866025404,0.5,6.12E-17,16701.45023
118,26,-0.010981016,0.014130392,0.042582586,-0.433012702,0.25,0.866025404,15556.7651
169,27,-0.010668677,0.015470961,0.048381876,-0.75,-0.433012702,0.5,15879.59851
108,28,-0.010355474,0.015731959,0.050566915,-0.433012702,0.25,0.866025404,13340.61544
155,29,-0.010476401,0.01398065,0.046858855,-0.75,0.433012702,0.5,13471.88417
129,35,-0.009570417,0.022632172,0.04084364,-0.433012702,0.75,0.5,14938.02363
185,36,-0.008736235,0.024921726,0.042685483,-0.433012702,0.75,0.5,14162.91596
225,37,-0.007839233,0.024663316,0.04004354,-0.433012702,0.75,0.5,14170.39351
217,41,-0.005143166,0.028776357,0.043867983,-0.75,0.433012702,-0.5,23314.69152
196,42,-0.004778287,0.030079173,0.046163414,-0.5,0.866025404,6.12E-17,9257.9809
202,43,-0.003199251,0.030185647,0.04492658,-0.5,0.866025404,6.12E-17,9929.475779
206,44,-0.003040209,0.031310454,0.046915084,-0.433012702,0.75,0.5,11528.43545
219,45,-0.005604568,0.031111255,0.048543822,-0.433012702,0.75,0.5,11915.39784
242,46,-0.007986656,0.008190782,0.040460989,-0.866025404,0.5,6.12E-17,17657.39357
253,47,-0.007033667,0.006517639,0.038480602,-0.433012702,0.25,0.866025404,28911.88541
245,48,-0.005932712,0.006450623,0.040922638,-0.433012702,0.25,0.866025404,23382.73584
284,51,-0.011080096,0.020675402,0.04457166,-0.75,0.433012702,-0.5,15153.09386
293,60,-0.010169859,0.012297194,0.044473264,-0.866025404,0.5,6.12E-17,10583.93804
304,63,-0.011113027,0.017952237,0.040708929,-0.433012702,0.75,0.5,14165.45367
265,65,-0.010170782,0.022841219,0.043554839,-0.433012702,0.75,0.5,15922.50893
319,66,-0.01075468,0.020460987,0.041918218,-0.5,0.866025404,6.12E-17,26663.68722
325,67,-0.010399981,0.012310112,0.041280635,-0.433012702,0.25,0.866025404,14096.25407
296,68,-0.000539599,0.030818917,0.045194648,-0.433012702,0.75,0.5,10759.38768
337,69,-0.002215289,0.02943168,0.042842336,-0.5,0.866025404,6.12E-17,8757.140475
352,72,-0.008591151,0.008311287,0.037813075,-0.75,0.433012702,-0.5,30041.38098
360,73,-0.009736898,0.010297607,0.036806125,-0.866025404,0.5,6.12E-17,21786.74669
372,91,-0.006692828,-0.01306881,0.025227789,-0.433012702,-0.75,-0.5,22606.8016
383,92,-0.007971233,-0.012961899,0.023644287,-0.433012702,-0.75,-0.5,21427.63055
390,93,-0.006841031,-0.014757135,0.023540463,-0.5,-0.866025404,6.12E-17,23325.12158
399,103,-0.010214028,0.012429648,0.035460088,-0.433012702,0.75,0.5,19944.60387
416,104,-0.010371438,0.012518196,0.038306322,-0.5,0.866025404,6.12E-17,25578.76495
