,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
50,9,-0.00712944474071,0.0712062269449,0.0620035156608,-0.4330127018922191,0.75,0.5000000000000001,2.7469119499533103e-05,2626.4596051308654,0.0033892023536712
13,10,-0.00891390815377,0.0702170804143,0.0642288252711,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,2.9881388773596087e-05,2786.512639450755,0.0055031049362377
43,11,-0.00749010499567,0.0721572041512,0.0651875734329,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,2.8445103824858653e-05,2148.553462110068,0.0039904282424554
35,15,-0.00495094945654,0.075518079102,0.0775522738695,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,2.8510491498095525e-05,1237.666529336272,0.0035849632931241
5,16,-0.00599516462535,0.0747577399015,0.0751126110554,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,2.9091762258142948e-05,1551.507204964406,0.0041852463695039
75,17,-0.00762269133702,0.0736939832568,0.0767299979925,-0.4330127018922191,0.75,0.5000000000000001,2.9317333147440777e-05,2177.3060470711976,0.0045558947580896
21,18,-0.00651665078476,0.0742876380682,0.0707920566201,-0.4330127018922193,0.2499999999999999,0.8660254037844387,2.7567630571605414e-05,1965.036867496976,0.0033842060078992
67,19,-0.0077436636202,0.073371142149,0.0735167935491,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,2.8251047507842432e-05,1423.5799520406251,0.0033314148333508
103,20,-0.00522026792169,0.0751804113388,0.0729901045561,-0.4330127018922191,0.75,0.5000000000000001,2.8251556036355347e-05,1832.845405238596,0.0036030791767197
89,45,0.000157791466336,0.0343362390995,0.0755725577474,-0.7499999999999999,-0.4330127018922194,0.5000000000000001,2.642305796300193e-05,2518.231050411841,0.0009882625978231
86,46,0.00276125152595,0.0343372635543,0.0738124102354,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,2.3590062400581822e-05,1084.0142961571544,0.001254202317899
95,47,0.00270519685,0.0334055460989,0.077077627182,-0.7499999999999999,-0.4330127018922194,0.5000000000000001,2.50941319968402e-05,1968.300141174772,0.0005444256197844
115,64,-0.00574123347178,0.0711486712098,0.0589715316892,-0.8660254037844387,0.4999999999999999,6.123233995736766e-17,2.7695475707594256e-05,1565.570591582131,0.0037668628452116
125,65,-0.00466520618647,0.0708926767111,0.0569527596235,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,2.8182639617018992e-05,2958.569015297353,0.0046744371253586
133,66,-0.00618213694543,0.0697254985571,0.0572688318789,-0.4330127018922191,0.75,0.5000000000000001,2.7143674405242308e-05,3129.401897168116,0.0036078477311827
154,79,-0.0152975935489,0.0602661073208,0.0729711428285,-0.4330127018922191,0.75,0.5000000000000001,2.849640580023251e-05,3397.715701291869,0.0028446955436732
187,80,-0.0158446449786,0.0582057833672,0.0744923129678,-0.4330127018922191,0.75,0.5000000000000001,2.8494655460641782e-05,3431.8974250732063,0.0027620660106285
178,81,-0.0156482998282,0.0603889264166,0.0752427950501,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,2.975326473268831e-05,2254.295704222536,0.0042488635940557
148,95,-0.0010055154562,0.0396318733692,0.0585190020502,-1.0,1.2246467991473532e-16,6.123233995736766e-17,2.989605108958127e-05,13383.596692693684,0.0053299513655056
216,114,-0.0126849887893,0.0653414726257,0.0667149871588,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,3.0269022896403504e-05,2990.501660728852,0.00552578492663
229,115,-0.0117036672309,0.0664913058281,0.0652346014977,-0.8660254037844387,0.4999999999999999,6.123233995736766e-17,2.890377947501839e-05,1989.265445617629,0.0046595744644166
235,116,-0.01241368521,0.0645101591945,0.0645244792104,-0.4330127018922191,0.75,0.5000000000000001,3.0507233618653537e-05,3707.7005320616536,0.0059343441176702
168,143,0.00570912333205,0.0393903777003,0.0195934232324,-1.59086285808736e-16,-0.8660254037844387,-0.4999999999999998,2.4263233737965223e-05,2250.8001681581604,0.0010915141557205
204,160,0.00281338160858,0.0441875271499,0.0274673420936,-0.8660254037844387,1.0605752387249068e-16,-0.4999999999999998,2.616852237339408e-05,2602.621951123814,0.0007710398962309
169,161,0.0045244214125,0.043048735708,0.0262003056705,-0.75,-0.4330127018922194,-0.4999999999999998,2.5150116566390354e-05,1301.1217738313164,0.0004874055431455
202,162,0.00498384702951,0.0435087457299,0.0285996459424,-0.2500000000000001,-0.4330127018922192,-0.8660254037844387,2.515063040528117e-05,3377.037308665342,0.0013256281721627
247,163,-0.00380092463456,0.0361586846411,0.0748066455126,-0.7499999999999999,-0.4330127018922194,0.5000000000000001,2.609449489779101e-05,2391.571656938889,0.0006764562252355
