,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
1661,1084,-0.008389517,0.039894097,0.073182374,-0.925416578,0.336824089,-0.173648178,3.67E-05,7299.388352,0.012415209
1741,1192,-0.009000105,0.048241977,0.055833519,-0.754406507,0.633022222,-0.173648178,3.91E-05,12243.75337,0.017459321
1814,1295,-0.015538049,0.062100716,0.077274047,-0.150383733,0.852868532,-0.5,3.99E-05,7157.182274,0.018960533
1825,1296,-0.014392355,0.064668752,0.075599216,-0.433012702,0.75,0.5,3.86E-05,15724.91743,0.022458398
1894,1324,-0.011138488,0.066480711,0.06326253,-0.171010072,0.96984631,-0.173648178,4.08E-05,12626.22718,0.026098679
1873,1331,-0.011730205,0.069224954,0.07456062,-0.150383733,0.852868532,-0.5,3.98E-05,6504.486363,0.018108742
1934,1371,-0.016192431,0.058962692,0.077164873,-0.150383733,0.852868532,-0.5,3.90E-05,10368.93232,0.023068013
1965,1392,-0.009437003,0.068689458,0.062357698,-0.111618897,0.633022222,-0.766044443,3.86E-05,7641.254353,0.01554435
1996,1394,-0.013101064,0.061527617,0.063758075,-0.433012702,0.75,0.5,3.89E-05,9103.635425,0.01693082
1973,1448,-0.004771749,0.042044871,0.058215067,-0.866025404,1.06E-16,0.5,3.90E-05,24033.25066,0.011289921
2049,1462,-0.014957632,0.059934881,0.069957376,-0.433012702,0.75,-0.5,3.94E-05,8256.335995,0.018961865
2076,1468,-0.01153961,0.067718416,0.066826113,-0.150383733,0.852868532,-0.5,4.12E-05,7759.400591,0.021032718
2107,1470,-0.011493633,0.049827695,0.061255157,-0.433012702,0.75,-0.5,3.99E-05,11957.15067,0.025473964
2154,1472,-0.012436286,0.052614935,0.061584521,-0.492403877,0.852868532,-0.173648178,4.05E-05,13188.39004,0.027059992
2184,1490,-0.010225174,0.04886857,0.058658492,-0.754406507,0.633022222,-0.173648178,3.83E-05,13101.21508,0.025378336
2125,1492,-0.010159863,0.047117174,0.061222669,-0.925416578,0.336824089,0.173648178,4.03E-05,17468.39909,0.018830332
2197,1497,-0.00866602,0.063017614,0.053722676,-0.433012702,0.75,0.5,3.89E-05,12362.28708,0.025590005
2253,1499,-0.015430714,0.058140777,0.072136998,-0.150383733,0.852868532,-0.5,3.98E-05,8288.026701,0.021743292
2319,1547,-0.016145192,0.052196987,0.077281542,-0.754406507,0.633022222,-0.173648178,3.82E-05,8050.569485,0.016453137
2262,1562,-0.002998856,0.040798221,0.058271952,-0.866025404,1.06E-16,0.5,4.18E-05,26451.93498,0.012524539
2384,1578,-0.01330308,0.063089423,0.066112168,-0.433012702,0.75,-0.5,3.88E-05,8122.949517,0.019222553
2293,1593,-0.008215856,0.04255468,0.065725803,-0.925416578,0.336824089,-0.173648178,3.63E-05,7188.764516,0.01579472
2350,1610,-0.010497503,0.068375632,0.06477502,-0.150383733,0.852868532,-0.5,4.09E-05,7072.287795,0.016064436
