,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
49,3,-0.00865211244673,0.0446269661188,0.0454831384122,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.856106925771894e-05,10190.298855261904,0.0039442010343545
24,4,-0.00944666657597,0.0430526025593,0.0476431064308,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.8218922494268405e-05,10059.454187197958,0.0040631597207659
38,5,-0.00770394969732,0.0450937636197,0.0480154231191,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.962861136521802e-05,11833.486946876212,0.0045728527133109
117,6,-0.0135569386184,0.0236317962408,0.0277124401182,-1.59086285808736e-16,-0.8660254037844387,-0.4999999999999998,3.5382924836056785e-05,5776.420670765138,0.0025867301245971
77,7,-0.0149974990636,0.0258808210492,0.0289322696626,-1.59086285808736e-16,-0.8660254037844387,-0.4999999999999998,3.589898431260639e-05,6345.678811878325,0.0028492305205275
90,8,-0.0136210313067,0.0261367224157,0.0265255887061,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,3.564531912322871e-05,5005.843975322526,0.0023204775330585
2,12,-0.00153159047477,0.049087099731,0.0352162718773,-1.0,1.2246467991473532e-16,6.123233995736766e-17,3.421300597366331e-05,4552.47997661083,0.0014773462948113
10,13,-0.00397969875485,0.0479685887694,0.0362336151302,-1.0,1.2246467991473532e-16,6.123233995736766e-17,3.395421250952495e-05,4460.022652925336,0.0014126890188225
62,14,-0.00227739964612,0.0489570461214,0.0377026721835,-0.8660254037844387,1.0605752387249068e-16,-0.4999999999999998,3.44822671344458e-05,7133.072163191707,0.0012032627332842
131,20,-0.0149888973683,0.0264685861766,0.0320138111711,-0.5000000000000004,-0.8660254037844385,6.123233995736766e-17,3.478900104251355e-05,4265.536461658855,0.0021956147430658
184,21,-0.0145759433508,0.0236558783799,0.0305886361748,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,3.576194113065396e-05,4978.785178086336,0.0025312195691624
157,33,-0.00925878249109,0.0439542979002,0.042892280966,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.779138298295322e-05,8684.317625573076,0.0035185465507651
144,34,-0.00718252267689,0.0461529530585,0.0433113053441,-1.0,1.2246467991473532e-16,6.123233995736766e-17,3.4790300081890825e-05,7133.502192926801,0.0020690278957478
170,35,-0.0082705821842,0.04507336393,0.041114743799,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.759207829381225e-05,8192.59751098214,0.0032966207133448
202,51,-0.0111468397081,0.0485835634172,0.0691139623523,-0.5000000000000004,-0.8660254037844385,6.123233995736766e-17,3.936325428171149e-05,6795.693257184274,0.0035847251151884
210,52,-0.00982120633125,0.0496735647321,0.0662051066756,-0.7499999999999999,-0.4330127018922194,0.5000000000000001,4.00978628464281e-05,10240.737770460084,0.0035152544569754
227,53,-0.0108807040378,0.0465912669897,0.0671239942312,-0.5000000000000004,-0.8660254037844385,6.123233995736766e-17,3.947433180435209e-05,7777.10855407719,0.0039218404785371
242,57,0.00340237701312,0.00949145574123,0.0353873372078,-1.59086285808736e-16,-0.8660254037844387,-0.4999999999999998,3.259793468004216e-05,2144.922642016402,0.001423650872289
287,58,0.00285489554517,0.00975566264242,0.0322721898556,-1.59086285808736e-16,-0.8660254037844387,-0.4999999999999998,3.315900144400234e-05,2917.357480670564,0.0017483016899085
251,66,-0.00906193070114,0.053900372237,0.0695871263742,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.775736857316381e-05,6786.188338720186,0.0028121137682009
262,67,-0.00769146997482,0.0547981895506,0.0678789615631,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.837405269275381e-05,7631.93541168024,0.0030377540152904
273,68,-0.00870101712644,0.052690949291,0.0669631585479,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,3.892030123392511e-05,8350.141962895821,0.0033574844815876
319,69,-0.00440065609291,0.0258234236389,0.0557659007609,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,3.4356059068490124e-05,4967.044106166071,0.0036557209986053
305,70,-0.00256923260167,0.0255431383848,0.0569316595793,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,3.403899304077811e-05,4945.903035679318,0.0036415366012541
335,71,-0.00411885092035,0.0280381403863,0.0576714910567,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,3.426174148132337e-05,5094.519786264838,0.0037229868327603
