,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
84,8,-0.0113885793835,0.0204183254391,0.0500924326479,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.58270195603788e-05,9566.396844917414,0.0050534275202733
112,9,-0.0112937800586,0.0178685989231,0.0485961772501,-0.2500000000000001,-0.4330127018922192,0.8660254037844387,4.700287923324632e-05,11610.84360399414,0.005900501851334
3,10,-0.0109883667901,0.0181586481631,0.0516170300543,-0.2500000000000001,-0.4330127018922192,0.8660254037844387,4.5786662141499255e-05,9400.420427088617,0.0049461661222433
99,11,-0.0113422162831,0.0205913241953,0.0473069883883,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.755413983148176e-05,12195.767848779413,0.0061130302128179
21,12,-0.0114106405526,0.0184698626399,0.0457460992038,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.635481725417052e-05,12427.239601697423,0.0062863892508905
63,18,-0.0112237958238,0.016216346994,0.046484798193,-0.2500000000000001,-0.4330127018922192,0.8660254037844387,4.6157927995222325e-05,12465.492130282291,0.006071413037979
52,19,-0.0113391103223,0.0168318226933,0.0445145070553,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.6454020775744765e-05,13100.63845115944,0.0067182004702162
36,20,-0.0113087939098,0.0161731876433,0.0425669066608,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.6858006515849456e-05,14242.383207341609,0.007198743389919
148,21,-0.0111069614068,0.0148761654273,0.0446149371564,-0.2500000000000001,-0.4330127018922192,0.8660254037844387,4.661752822436299e-05,13462.521109013853,0.0067428981334621
133,22,-0.00175128760748,-0.0135007146746,0.0272977072746,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,3.572811196742803e-05,3321.542540433101,0.0023434514011248
182,25,-0.0109716318548,0.0150414966047,0.039958525449,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.643000613343489e-05,15280.803586650904,0.0077313555492179
164,26,-0.010981015861,0.0141303921118,0.0425825864077,-0.2500000000000001,-0.4330127018922192,0.8660254037844387,4.615362193620933e-05,13834.742544321733,0.0070144646769391
233,27,-0.0106686772779,0.0154709611088,0.0483818762004,-9.184850993605147e-17,-0.4999999999999999,0.8660254037844387,4.7836332950026233e-05,12645.140128263523,0.007090465767275
206,28,-0.0103554744273,0.0157319586724,0.0505669154227,-1.59086285808736e-16,-0.8660254037844386,0.5000000000000001,4.6985589840353526e-05,10397.329649571464,0.0063390753451432
252,29,-0.0104764010757,0.013980650343,0.0468588545918,-9.184850993605147e-17,-0.4999999999999999,0.8660254037844387,4.750754763875165e-05,13377.852895883663,0.007484902548936
137,35,-0.00957041699439,0.0226321723312,0.0408436395228,-0.7499999999999999,-0.4330127018922194,0.5000000000000001,4.977576103299224e-05,21608.798266658123,0.0061079653066682
220,36,-0.0087362350896,0.0249217264354,0.042685482651,-0.8660254037844386,-0.5000000000000001,6.123233995736766e-17,4.5875998353110086e-05,15911.596823973694,0.0050410348123266
196,41,-0.00514316558838,0.0287763569504,0.043867982924,-1.0,1.2246467991473532e-16,6.123233995736766e-17,3.738344461587001e-05,11995.274577729964,0.0026317579580816
228,42,-0.00477828690782,0.0300791729242,0.0461634136736,-1.0,1.2246467991473532e-16,6.123233995736766e-17,3.536455166512504e-05,7189.101867998821,0.0018642195982722
270,43,-0.00319925113581,0.0301856473088,0.0449265800416,-1.0,1.2246467991473532e-16,6.123233995736766e-17,3.867533228337199e-05,9985.97325775508,0.0029643375080448
