,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
53,9,-0.007129445,0.071206227,0.062003516,-0.5,0.866025404,6.12E-17,3.57E-05,8816.323001,0.01659324
13,10,-0.008913908,0.07021708,0.064228825,-0.5,0.866025404,6.12E-17,3.78E-05,7319.967868,0.019319128
23,11,-0.007490105,0.072157204,0.065187573,-0.5,0.866025404,6.12E-17,3.59E-05,7855.709107,0.017286605
2,15,-0.004950949,0.075518079,0.077552274,-0.433012702,0.75,0.5,3.56E-05,9896.280767,0.016304248
30,16,-0.005995165,0.07475774,0.075112611,-0.25,0.433012702,0.866025404,3.53E-05,9400.506176,0.015126
75,17,-0.007622691,0.073693983,0.076729998,-0.433012702,0.75,0.5,3.58E-05,10151.10915,0.017453893
45,18,-0.006516651,0.074287638,0.070792057,-0.5,0.866025404,6.12E-17,3.57E-05,7412.558052,0.014531208
64,19,-0.007743664,0.073371142,0.073516794,-0.433012702,0.75,0.5,3.60E-05,9878.053239,0.018196609
101,20,-0.005220268,0.075180411,0.072990105,-0.25,0.433012702,0.866025404,3.56E-05,10003.24389,0.016446555
97,45,0.000157791,0.034336239,0.075572558,-1.59E-16,-0.866025404,0.5,2.39E-05,6705.643003,0.002521476
86,46,0.002761252,0.034337264,0.07381241,-0.866025404,-0.5,6.12E-17,2.20E-05,4594.507647,0.002798058
92,47,0.002705197,0.033405546,0.077077627,-0.866025404,-0.5,6.12E-17,2.22E-05,4098.036409,0.002583088
114,64,-0.005741233,0.071148671,0.058971532,-0.5,0.866025404,6.12E-17,3.54E-05,7818.514456,0.016528151
125,65,-0.004665206,0.070892677,0.05695276,-0.5,0.866025404,6.12E-17,3.54E-05,7662.696914,0.016265215
136,66,-0.006182137,0.069725499,0.057268832,-0.5,0.866025404,6.12E-17,3.55E-05,7596.582629,0.019683186
154,79,-0.015297594,0.060266107,0.072971143,-0.433012702,0.75,0.5,3.92E-05,7774.907278,0.020522713
196,80,-0.015844645,0.058205783,0.074492313,-0.433012702,0.75,-0.5,3.79E-05,10682.38147,0.019223146
182,81,-0.0156483,0.060388926,0.075242795,-0.433012702,0.75,-0.5,3.94E-05,6759.207659,0.016837948
148,95,-0.001005515,0.039631873,0.058519002,-1,1.22E-16,6.12E-17,3.66E-05,15652.88065,0.013508575
200,114,-0.012684989,0.065341473,0.066714987,-0.433012702,0.75,0.5,3.88E-05,8657.08137,0.017384858
225,115,-0.011703667,0.066491306,0.065234601,-0.75,0.433012702,0.5,3.40E-05,4453.428193,0.009777022
246,116,-0.012413685,0.064510159,0.064524479,-0.25,0.433012702,-0.866025404,3.40E-05,7734.682901,0.008212871
165,143,0.005709123,0.039390378,0.019593423,-0.5,-0.866025404,6.12E-17,2.82E-05,8114.542455,0.003883174
219,160,0.002813382,0.044187527,0.027467342,-1.59E-16,-0.866025404,-0.5,3.29E-05,7011.700207,0.01079603
170,161,0.004524421,0.043048736,0.026200306,-0.433012702,-0.75,-0.5,2.86E-05,8439.65228,0.003508446
214,162,0.004983847,0.043508746,0.028599646,-0.25,-0.433012702,-0.866025404,3.05E-05,5053.889207,0.003788586
250,163,-0.003800925,0.036158685,0.074806646,-1,1.22E-16,6.12E-17,3.07E-05,4902.50625,0.005778097
257,164,-0.002460294,0.034910105,0.076922424,-1,1.22E-16,6.12E-17,3.12E-05,5903.434977,0.006245734
265,165,-0.004895665,0.036128972,0.076666772,-1,1.22E-16,6.12E-17,3.12E-05,6836.2923,0.005995786
294,166,-0.01503684,0.053202383,0.070946276,-0.433012702,0.75,-0.5,3.83E-05,10625.33097,0.021232097
316,167,-0.015669849,0.05577806,0.073086224,-0.5,0.866025404,6.12E-17,3.81E-05,6740.555309,0.015381999
335,168,-0.015182666,0.056567479,0.070219517,-0.433012702,0.75,-0.5,3.70E-05,12775.54906,0.021122631
269,169,0.000998744,0.045678522,0.028987834,-1,1.22E-16,6.12E-17,2.89E-05,3260.064669,0.003848469
297,170,-0.00070426,0.047163062,0.027540015,-0.866025404,0.5,6.12E-17,3.49E-05,8306.170582,0.012749483
277,171,0.000948274,0.045394227,0.026009358,-1,1.22E-16,6.12E-17,2.85E-05,3294.287025,0.003447978
344,172,-0.004195399,0.057848778,0.036893759,-0.433012702,0.75,-0.5,3.57E-05,7962.188831,0.011072915
358,173,-0.004078443,0.056779016,0.03504834,-0.433012702,0.75,-0.5,3.59E-05,8006.232293,0.012528164
404,174,-0.004199527,0.054883171,0.037000943,-0.433012702,0.75,-0.5,3.69E-05,10429.54918,0.014055734
372,175,-0.002903088,0.071453996,0.055657376,-0.433012702,0.75,-0.5,3.42E-05,7985.543155,0.01244007
379,176,-0.003478578,0.072363243,0.058004595,-0.5,0.866025404,6.12E-17,3.54E-05,7000.408151,0.015562416
395,192,-0.013921953,0.055389594,0.06528762,-0.433012702,0.75,-0.5,3.79E-05,7431.042153,0.016336651
421,193,-0.013620272,0.052685082,0.065718181,-0.433012702,0.75,-0.5,4.03E-05,9155.887012,0.019694082
444,194,-0.014573921,0.054535147,0.067928873,-0.866025404,0.5,6.12E-17,3.75E-05,10283.49611,0.015215485
426,201,0.005054997,0.075942613,0.059154719,-0.5,0.866025404,6.12E-17,3.34E-05,4435.772117,0.010053753
450,202,0.00310863,0.074863754,0.057184212,-0.433012702,0.75,0.5,3.27E-05,6647.901346,0.014255167
433,203,0.001657142,0.075379007,0.059316851,-0.5,0.866025404,6.12E-17,3.48E-05,5495.642776,0.012695935
461,207,-0.006183247,0.067207985,0.053786799,-0.5,0.866025404,6.12E-17,3.55E-05,8272.651145,0.021468788
472,208,-0.004251283,0.068429664,0.052673116,-0.5,0.866025404,6.12E-17,3.50E-05,9215.237404,0.021473184
501,209,-0.00516601,0.066665627,0.051418144,-0.5,0.866025404,6.12E-17,3.52E-05,9117.150443,0.022585008
536,279,-0.003795233,0.057080094,0.032681618,-0.5,0.866025404,6.12E-17,3.81E-05,11101.73469,0.018428387
521,280,-0.003628708,0.059092399,0.034490332,-0.433012702,0.75,0.5,3.74E-05,7772.248135,0.012465547
482,294,-0.001457673,0.074174464,0.059325621,-0.5,0.866025404,6.12E-17,3.53E-05,6370.978788,0.014465654
491,295,-0.001475025,0.072950356,0.056798887,-0.5,0.866025404,6.12E-17,3.49E-05,6387.247505,0.014606712
520,308,-0.003123345,0.051611289,0.032219078,-0.25,-0.433012702,-0.866025404,3.82E-05,6439.29428,0.015168221
549,309,-0.003458444,0.05233844,0.035170101,-0.866025404,0.5,6.12E-17,3.54E-05,10080.25375,0.01653124
596,310,-0.00382157,0.054213606,0.032536447,-0.433012702,0.75,0.5,3.54E-05,7516.34677,0.014824154
567,311,-0.000859556,0.077257916,0.06888973,-0.433012702,0.75,0.5,3.58E-05,7879.452002,0.016400944
584,312,-0.000880875,0.077286154,0.071803175,-0.433012702,0.75,0.5,3.58E-05,8881.926795,0.016500244
576,313,0.001429294,0.078054093,0.070601985,-0.433012702,0.75,0.5,3.38E-05,5661.953122,0.012907749
562,333,0.005839676,0.032686748,0.078592643,-0.866025404,-0.5,6.12E-17,2.59E-05,6457.485232,0.002489919
616,339,-0.004579102,0.06573426,0.049091294,-0.433012702,0.75,-0.5,3.52E-05,10328.00332,0.020326589
625,340,-0.006100621,0.06471613,0.05064223,-0.5,0.866025404,6.12E-17,3.68E-05,11193.78414,0.025454686
594,364,0.003471017,0.039384518,0.018724782,-1.84E-16,-1,6.12E-17,3.11E-05,13621.39374,0.005242929
638,383,0.000853202,0.043714974,0.020221548,-0.75,-0.433012702,-0.5,3.50E-05,10542.17668,0.01635261
641,385,0.002129391,0.041393753,0.019396752,-0.866025404,0.5,6.12E-17,3.20E-05,6896.884078,0.010719433
659,386,-0.009407742,0.055487093,0.051823571,-0.866025404,0.5,6.12E-17,3.68E-05,10078.36615,0.018530813
685,387,-0.008279542,0.056447756,0.049333844,-0.75,0.433012702,-0.5,3.49E-05,11187.16633,0.017008636
716,388,-0.008129513,0.054180317,0.049072791,-0.75,0.433012702,0.5,3.63E-05,14168.2183,0.018337491
651,400,0.000172565,0.035086691,0.073162101,-1,1.22E-16,6.12E-17,3.22E-05,7740.018422,0.007280487
698,402,-0.015722305,0.049715105,0.077847965,-0.866025404,0.5,6.12E-17,3.65E-05,8483.692474,0.013054585
714,403,-0.014791193,0.047547221,0.076750338,-0.75,0.433012702,-0.5,3.62E-05,4607.741343,0.011492217
671,408,0.005738521,0.069757216,0.044564027,-0.5,0.866025404,6.12E-17,3.20E-05,4666.41867,0.010055652
732,410,-0.001656921,0.057876617,0.024877911,-0.5,0.866025404,6.12E-17,3.16E-05,4617.496864,0.008337983
758,411,-0.000324559,0.057396822,0.022699552,-0.433012702,0.75,0.5,3.33E-05,7785.776479,0.013586959
775,412,-0.001949036,0.055200487,0.023626246,-0.5,0.866025404,6.12E-17,3.39E-05,6638.511303,0.012940941
746,413,-0.000505254,0.04632457,0.021023899,-0.866025404,0.5,6.12E-17,3.25E-05,6994.488683,0.011129254
797,415,0.001146571,0.054173227,0.018925115,-0.25,0.433012702,-0.866025404,3.26E-05,8197.049257,0.00819876
811,416,0.003417755,0.05618678,0.01882421,-0.433012702,0.25,-0.866025404,2.85E-05,9144.91451,0.004372399
834,424,-0.000577953,0.054677669,0.021293901,-0.433012702,0.75,-0.5,3.61E-05,8175.810187,0.011090399
818,425,0.001453457,0.056782,0.020718968,-0.866025404,0.5,6.12E-17,2.91E-05,3055.218488,0.005695432
862,429,0.00429449,0.06106244,0.022544758,-9.18E-17,-0.5,-0.866025404,3.44E-05,6656.641549,0.008985139
868,432,-0.013138563,0.055622753,0.062405795,-0.5,0.866025404,6.12E-17,4.07E-05,13213.62603,0.026599262
880,433,-0.012533587,0.056701362,0.060199197,-0.866025404,0.5,6.12E-17,3.37E-05,7313.393379,0.010862524
888,434,-0.012194345,0.054359335,0.059705678,-0.75,0.433012702,0.5,3.68E-05,10688.2252,0.013255052
850,435,0.002683536,0.042518802,0.022009928,-1.59E-16,-0.866025404,-0.5,3.18E-05,6446.499558,0.005176473
900,436,0.0037639,0.058563162,0.020680381,-0.5,0.866025404,6.12E-17,3.15E-05,9855.862034,0.013006696
928,437,0.001799451,0.059398297,0.022404443,-0.5,0.866025404,6.12E-17,3.31E-05,9782.433367,0.013907182
950,442,-0.000703737,0.051769618,0.019873895,-0.25,0.433012702,-0.866025404,3.51E-05,12214.70547,0.009937037
972,443,-0.001865657,0.052352428,0.022636186,-0.433012702,0.75,-0.5,3.52E-05,6678.659611,0.010304178
913,444,0.000868694,0.044662461,0.02306075,-0.866025404,0.5,6.12E-17,3.22E-05,5541.612186,0.010683388
961,446,-0.011767593,0.056260161,0.057902988,-0.866025404,0.5,6.12E-17,3.84E-05,11772.59572,0.018794223
993,447,-0.01207749,0.058736037,0.059082679,-0.5,0.866025404,6.12E-17,3.74E-05,10418.44128,0.019085502
922,448,0.004426434,0.040676154,0.020851385,-0.75,-0.433012702,-0.5,2.30E-05,2204.831662,0.002218113
925,449,0.005265414,0.041910082,0.023689717,-0.75,-0.433012702,-0.5,2.06E-05,4641.238495,0.006003168
1025,455,0.002104776,0.061975513,0.024255887,-0.433012702,0.75,0.5,3.15E-05,7617.705798,0.009887967
1003,456,0.004729584,0.06366419,0.024593074,-0.5,0.866025404,6.12E-17,3.19E-05,8774.533,0.010467391
984,462,0.00279122,0.043510493,0.024734125,-0.866025404,1.06E-16,-0.5,2.91E-05,6115.571666,0.003732628
1014,471,0.005165245,0.065732695,0.027348207,-0.433012702,0.75,0.5,3.31E-05,5426.584102,0.010402081
1040,478,-0.003397872,0.058170311,0.029898146,-0.433012702,0.75,0.5,3.66E-05,7888.528278,0.010082332
1055,479,-0.00202595,0.061096251,0.028725242,-0.75,0.433012702,0.5,3.12E-05,6164.820038,0.005401068
1096,480,-0.002652742,0.058283053,0.027246729,-0.433012702,0.75,0.5,3.54E-05,9275.244324,0.017185637
1072,481,0.002420136,0.064239167,0.026611956,-0.433012702,0.75,-0.5,3.22E-05,9308.638023,0.010689758
1121,485,-0.002854937,0.052876923,0.025136858,-0.5,0.866025404,6.12E-17,3.55E-05,12887.14864,0.01980527
1080,489,-0.006924135,0.04057065,0.067979306,-0.866025404,1.06E-16,0.5,3.01E-05,8405.211838,0.004062804
1112,490,-0.004606814,0.039051153,0.067403749,-0.25,-0.433012702,0.866025404,3.09E-05,11309.59143,0.003040058
1092,491,-0.005505783,0.038863081,0.069976322,-1,1.22E-16,6.12E-17,3.28E-05,8956.134667,0.007684745
1161,494,-0.002942748,0.05568495,0.025988445,-0.433012702,0.75,-0.5,3.71E-05,13066.2799,0.01602407
1136,499,0.005578499,0.067050129,0.030259985,-0.433012702,0.75,0.5,3.29E-05,4541.056052,0.01053702
1146,500,0.002874334,0.065911271,0.029370714,-0.433012702,0.75,0.5,3.30E-05,7368.086892,0.012098632
1198,501,-0.002142284,0.050165247,0.024531258,-0.433012702,0.75,-0.5,3.76E-05,10462.73001,0.01395609
1172,502,-0.000812638,0.047312304,0.024350192,-0.866025404,0.5,6.12E-17,3.33E-05,6777.314659,0.011888302
1191,503,-0.001883285,0.048796006,0.026462808,-0.433012702,0.25,-0.866025404,3.47E-05,10211.1444,0.006485439
1222,517,-3.21E-05,0.059977017,0.024282005,-0.25,-0.433012702,-0.866025404,3.85E-05,6010.931882,0.014214933
1234,518,-0.001410644,0.060088634,0.026158163,-0.25,0.433012702,-0.866025404,3.15E-05,6760.13801,0.008037829
1258,519,-0.003488783,0.055893596,0.028531363,-0.433012702,0.75,-0.5,3.58E-05,7925.481389,0.011211703
1250,520,-0.011925875,0.068477593,0.071341693,-0.433012702,0.75,-0.5,3.79E-05,5685.168302,0.014186441
1279,521,-0.012664865,0.066654995,0.068908542,-0.433012702,0.75,-0.5,3.85E-05,6756.422994,0.016297087
1315,522,-0.013537283,0.065438338,0.071282849,-0.433012702,0.75,-0.5,4.03E-05,5583.811575,0.014790905
1288,526,-0.007024543,0.065001719,0.052604228,-0.433012702,0.75,-0.5,3.58E-05,10011.22037,0.020978352
1323,529,-0.003819476,0.055820722,0.030734459,-0.433012702,0.75,-0.5,3.89E-05,15555.69147,0.017282134
1302,537,-0.014076962,0.051599856,0.068189219,-0.75,0.433012702,-0.5,3.61E-05,6248.293795,0.013026399
1348,538,-0.012864225,0.049933933,0.0659547,-0.433012702,0.75,-0.5,3.92E-05,8341.565958,0.019125735
1358,539,-0.013222434,0.04887541,0.06857267,-0.5,-0.866025404,6.12E-17,3.72E-05,13105.09817,0.024979788
1338,545,0.003044619,0.044569742,0.030325593,-0.25,-0.433012702,-0.866025404,3.67E-05,9125.028135,0.010825502
