,retraction_ind,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,area_exposed,stress_induced,displacement
85,8,-0.0113885793835,0.0204183254391,0.0500924326479,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.58270195603788e-05,9566.396844917414,0.0050534275202733
270,9,-0.0112937800586,0.0178685989231,0.0485961772501,-0.1503837331804352,-0.8528685319524432,0.5000000000000001,4.744952815108755e-05,12020.816676066886,0.0066148344367664
185,10,-0.0109883667901,0.0181586481631,0.0516170300543,-0.1116188970489496,-0.633022221559489,0.766044443118978,4.742940167193775e-05,10306.33510697831,0.0057966424366511
15,11,-0.0113422162831,0.0205913241953,0.0473069883883,-0.4330127018922197,-0.7499999999999998,0.5000000000000001,4.755413983148176e-05,12195.767848779413,0.0061130302128179
42,12,-0.0114106405526,0.0184698626399,0.0457460992038,-0.3213938048432699,-0.5566703992264191,0.766044443118978,4.741328331383629e-05,13262.679249319974,0.00646463447258
231,18,-0.0112237958238,0.016216346994,0.046484798193,-0.1503837331804352,-0.8528685319524432,0.5000000000000001,4.766512076127851e-05,13648.048048621438,0.0074840314269594
112,19,-0.0113391103223,0.0168318226933,0.0445145070553,-0.3213938048432699,-0.5566703992264191,0.766044443118978,4.751575018678324e-05,13945.783962834348,0.0069753306945928
145,20,-0.0113087939098,0.0161731876433,0.0425669066608,-0.3213938048432699,-0.5566703992264191,0.766044443118978,4.765871770370896e-05,15006.403336880869,0.0073490158753585
430,21,-0.0111069614068,0.0148761654273,0.0446149371564,-0.1116188970489496,-0.633022221559489,0.766044443118978,4.7814312325677805e-05,14722.507792855657,0.007853781065469
368,25,-0.0109716318548,0.0150414966047,0.039958525449,-0.1710100716628343,-0.969846310392954,-0.1736481776669303,4.695361427729735e-05,14736.442364029264,0.0080751336880711
469,26,-0.010981015861,0.0141303921118,0.0425825864077,-0.1116188970489496,-0.633022221559489,0.766044443118978,4.7290167908129874e-05,15241.22595330559,0.0082322117392429
552,27,-0.0106686772779,0.0154709611088,0.0483818762004,-0.1116188970489496,-0.633022221559489,0.766044443118978,4.679007710607909e-05,11872.143253542152,0.0065659338185334
386,28,-0.0103554744273,0.0157319586724,0.0505669154227,-0.0593911746138847,-0.3368240888334651,0.9396926207859084,4.663553445026415e-05,10275.18775006506,0.00581269379561
