,expert,level,activity,x,y,z,dx,dy,dz,F,id
0,1,1,1,-0.00759993540123,0.0607644468546,0.049598172307,-0.82,0.58,0.0,4.62,4
15,1,1,1,-0.00564102875069,0.0570645295084,0.0425251126289,-0.76,0.65,-0.05,2.95,21
30,0,1,1,-0.00245890719816,0.0472535863519,0.0430691353977,-0.76,0.65,-0.08,3.34,22
45,1,1,1,-0.00545530254021,0.05969998613,0.0433526039124,-0.84,0.54,-0.09,5.88,5
60,1,1,1,-0.00631462410092,0.0551951490343,0.0444466024637,-0.74,0.67,0.05,3.42,11
75,0,1,1,-0.0075091808103,0.0583892539144,0.0480576194823,-0.77,0.6,-0.19,2.77,23
90,0,1,1,-0.00691327312961,0.0533650144935,0.0464761070907,-0.77,0.64,-0.04,2.77,24
105,1,1,1,-0.00419952673838,0.0548831708729,0.0370009429753,-0.74,0.46,-0.49,3.73,25
120,1,1,1,-0.00504060741514,0.0469234324992,0.0483944267035,-0.75,0.65,0.06,5.0,26
135,0,1,1,-0.00381947588176,0.0558207221329,0.0307344589382,-0.8,0.6,0.0,4.1,27
150,0,1,1,-0.00382157042623,0.0542136058211,0.0325364470482,-0.76,0.64,0.05,2.67,28
165,0,1,1,-0.00480585265905,0.0565717443824,0.0396336615086,-0.77,0.48,-0.41,4.4,29
180,0,1,1,-0.00599414808676,0.0508098900318,0.0460199788213,-0.81,0.58,0.09,4.74,30
195,0,1,1,-0.00616783183068,0.0632491335273,0.0489255711436,-0.78,0.57,-0.27,4.2,31
210,0,1,1,0.00395341170952,0.0447963178158,0.0369018986821,-0.72,0.61,0.33,5.88,32
