,expert,level,activity,x,y,z,dx,dy,dz,F,id
12,1,5,1,-0.0135768633336,0.0127695407718,0.0346424616873,-0.75,0.66,0.03,6.88,4
27,1,5,1,-0.0133393956348,0.0128818480298,0.0300794094801,-0.67,0.73,-0.15,3.65,21
42,0,5,1,-0.0131237953901,0.0080555062741,0.0351660251617,-0.63,0.77,-0.14,3.35,22
57,1,5,1,-0.0135531881824,0.0140214944258,0.0376064255834,-0.64,0.77,0.03,3.55,5
72,1,5,1,-0.0123211294413,0.0170490518212,0.0325879789889,-0.68,0.69,-0.27,3.82,11
87,0,5,1,-0.0109477723017,0.00398920988664,0.0376525297761,-0.57,0.72,-0.39,2.18,23
102,0,5,1,-0.0131237953901,0.0080555062741,0.0351660251617,-0.65,0.76,-0.08,3.34,24
117,1,5,1,-0.0113539164886,0.0123807229102,0.0142705217004,-0.69,0.64,-0.34,3.49,25
132,1,5,1,-0.0119395116344,0.00586984306574,0.0396755710244,-0.65,0.76,0.09,4.88,26
147,0,5,1,-0.00324263190851,0.00411371001974,0.0595997348428,-0.64,0.75,0.17,5.63,27
162,0,5,1,-0.0131237953901,0.0080555062741,0.0351660251617,-0.61,0.75,-0.25,2.3,28
177,0,5,1,-0.0122023439035,0.00524734240025,0.0333516746759,-0.61,0.68,-0.41,2.5,29
192,0,5,1,-0.0130860563368,0.00836496800184,0.038050532341,-0.59,0.8,0.12,2.5,30
207,0,5,1,-0.0132942060009,0.00840032938868,0.0325799807906,-0.68,0.67,-0.31,3.9,31
222,0,5,1,-0.00938963331282,0.0021064192988,0.0371816419065,-0.74,0.66,0.14,8.41,32
