,expert,level,activity,x,y,z,dx,dy,dz,F,id
7,1,3,2,-0.00669131381437,0.0445149615407,0.0573306269944,-0.8,-0.6,0.05,4.13,4
22,1,3,2,-0.00725332414731,0.0435051731765,0.0528902970254,-0.72,-0.67,-0.19,2.73,21
37,0,3,2,-0.00669131381437,0.0445149615407,0.0573306269944,-0.73,-0.57,0.39,2.32,22
52,1,3,2,-0.00669131381437,0.0445149615407,0.0573306269944,-0.79,-0.62,-0.06,4.01,5
67,1,3,2,-0.00757404835895,0.0515419505537,0.0638328418136,-0.68,-0.31,0.66,2.81,11
82,0,3,2,-0.00546323368326,0.045970659703,0.0531817413867,-0.67,-0.72,0.18,1.6,23
97,0,3,2,-0.00216660578735,0.0497029982507,0.0563425719738,-0.74,-0.66,0.13,2.97,24
112,1,3,2,-0.00828038528562,0.0433416515589,0.0501409545541,-0.71,-0.67,-0.2,2.48,25
127,1,3,2,-0.00358407851309,0.0478640682995,0.0543930977583,-0.73,-0.68,-0.05,3.16,26
142,0,3,2,-0.00548480311409,0.0512707382441,0.0611291229725,-0.71,-0.55,0.44,2.91,27
157,0,3,2,-0.00636539980769,0.0445981062949,0.0549650751054,-0.73,-0.68,0.07,1.74,28
172,0,3,2,-0.00669131381437,0.0445149615407,0.0573306269944,-0.72,-0.61,0.32,2.45,29
187,0,3,2,-0.00371479336172,0.0477535054088,0.050733383745,-0.7,-0.68,-0.24,3.31,30
202,0,3,2,-0.00358407851309,0.0478640682995,0.0543930977583,-0.68,-0.66,-0.32,2.75,31
217,0,3,2,-0.00444077746943,0.0484112091362,0.0573244914412,-0.81,-0.59,-0.02,7.2,32
