,expert,level,activity,x,y,z,dx,dy,dz,F,id
9,1,4,1,0.000348229397787,0.040548261255,0.0662993863225,-0.79,0.58,0.21,6.48,4
24,1,4,1,-0.0065508428961,0.0500655435026,0.0628169253469,-0.77,0.64,-0.06,3.05,21
39,0,4,1,0.00256093475036,0.0399319157004,0.0685489326715,-0.74,0.68,-0.02,3.77,22
54,1,4,1,-0.00462704803795,0.0452730022371,0.0633842274547,-0.8,0.59,-0.1,6.17,5
69,1,4,1,-0.00568383745849,0.0506804399192,0.0654083266854,-0.77,0.64,0.08,4.05,11
84,0,4,1,0.000415342336055,0.0393960215151,0.0634050443769,-0.59,0.62,-0.51,3.06,23
99,0,4,1,-0.00462704803795,0.0452730022371,0.0633842274547,-0.73,0.68,-0.07,3.14,24
114,1,4,1,-0.00977429561317,0.0413343496621,0.0253193192184,-0.7,0.44,-0.56,3.49,25
129,1,4,1,0.000348229397787,0.040548261255,0.0662993863225,-0.75,0.65,-0.13,5.42,26
144,0,4,1,-0.00159716361668,0.0393794216216,0.0581177771091,-0.58,0.4,0.71,4.77,27
159,0,4,1,-0.00616681948304,0.0473153628409,0.0617318823934,-0.77,0.61,-0.2,3.14,28
174,0,4,1,-0.00167273241095,0.0415047295392,0.0641478747129,-0.59,0.53,-0.62,3.56,29
189,0,4,1,-0.00177332526073,0.0445834547281,0.0693579167128,-0.78,0.55,0.3,4.97,30
204,0,4,1,0.000348229397787,0.040548261255,0.0662993863225,-0.73,0.68,0.09,3.86,31
219,0,4,1,0.000415342336055,0.0393960215151,0.0634050443769,-0.84,0.53,0.05,9.21,32
