,expert,level,activity,x,y,z,dx,dy,dz,F,id
4,1,2,2,-0.00850127637386,0.0104035679251,0.022353021428,-0.73,-0.63,0.26,3.31,4
19,1,2,2,-0.00955810490996,0.012522730045,0.0277361590415,-0.65,-0.49,0.59,2.59,21
34,0,2,2,-0.0100328102708,0.00975883938372,0.0272323749959,-0.68,-0.57,0.46,2.76,22
49,1,2,2,-0.00756827415898,0.0129839433357,0.0232466161251,-0.8,-0.47,0.38,5.97,5
64,1,2,2,-0.00647972151637,0.0116725591943,0.0207964628935,-0.66,-0.41,0.62,2.91,11
79,0,2,2,-0.00734174670652,0.0162276290357,0.0267827305943,-0.39,-0.26,0.88,2.62,23
94,0,2,2,-0.00878327526152,0.0147313987836,0.0279703717679,-0.69,-0.61,0.39,2.31,24
109,1,2,2,-0.00456972233951,0.00572869414464,0.0163757018745,-0.46,-0.37,0.81,3.7,25
124,1,2,2,-0.00917231757194,0.0115110035986,0.0250312387943,-0.71,-0.55,0.43,3.69,26
139,0,2,2,-0.00831276737154,0.0193921755999,0.0333781279624,-0.68,-0.29,0.68,4.81,27
154,0,2,2,-0.0102454312146,0.00676541915163,0.0266980528831,-0.66,-0.54,0.52,2.17,28
169,0,2,2,-0.0095657100901,0.00445152260363,0.0292280092835,-0.59,-0.44,0.67,2.85,29
184,0,2,2,-0.00917231757194,0.0115110035986,0.0250312387943,-0.65,-0.41,0.63,3.09,30
199,0,2,2,-0.00832349713892,0.0139887407422,0.0257809404284,-0.69,-0.48,0.54,4.18,31
214,0,2,2,-0.00832349713892,0.0139887407422,0.0257809404284,-0.68,-0.32,0.65,6.12,32
