,expert,level,activity,x,y,z,dx,dy,dz,F,id
13,1,5,2,-0.0136978728697,0.0139424595982,0.0409132651985,-0.58,-0.79,0.18,6.04,4
28,1,5,2,-0.0108293956146,0.00452424446121,0.0421782881021,-0.49,-0.81,0.32,3.42,21
43,0,5,2,-0.0135531881824,0.0140214944258,0.0376064255834,-0.53,-0.8,0.29,4.32,22
58,1,5,2,-0.00230667437427,0.0245639625937,0.0313757322729,0.0,1.0,-0.06,6.14,5
73,1,5,2,-0.0121676716954,0.0067404396832,0.0425679981709,-0.44,-0.69,0.57,2.99,11
88,0,5,2,-0.0135531881824,0.0140214944258,0.0376064255834,-0.41,-0.83,0.38,2.17,23
103,0,5,2,-0.0136252278462,0.0112375607714,0.039505187422,-0.49,-0.87,0.1,2.35,24
118,1,5,2,-0.00745936995372,0.018362633884,0.0192061886191,-0.48,-0.88,0.04,4.59,25
133,1,5,2,-0.0136252278462,0.0112375607714,0.039505187422,-0.53,-0.81,0.25,3.9,26
148,0,5,2,-0.00953565817326,0.0249347537756,0.050870090723,-0.46,-0.7,0.54,4.92,27
163,0,5,2,-0.0130860563368,0.00836496800184,0.038050532341,-0.52,-0.85,-0.05,2.48,28
178,0,5,2,-0.0136252278462,0.0112375607714,0.039505187422,-0.42,-0.68,0.61,2.91,29
193,0,5,2,-0.013569785282,0.0131289782003,0.0481817536056,-0.49,-0.82,0.29,2.15,30
208,0,5,2,-0.0136978728697,0.0139424595982,0.0409132651985,-0.39,-0.79,0.46,2.17,31
223,0,5,2,-0.0127708949149,0.0170731898397,0.0373860374093,-0.58,-0.76,0.29,6.69,32
