,expert,level,activity,x,y,z,dx,dy,dz,F,id
11,1,4,3,-0.00710216909647,0.0344259738922,0.0289845429361,-0.74,0.67,0.09,5.36,4
26,1,4,3,-0.00860460940748,0.0371868014336,0.0286103580147,-0.74,0.64,-0.18,3.16,21
41,0,4,3,-0.00515837362036,0.0319325812161,0.029314160347,-0.72,0.7,-0.02,3.96,22
56,1,4,3,-0.00849511567503,0.0392567180097,0.0309073217213,-0.74,0.6,0.31,6.66,5
71,1,4,3,-0.00951271224767,0.0490304678679,0.0296491924673,-0.77,0.63,0.01,4.04,11
86,0,4,3,-0.00521961180493,0.0342974029481,0.0313934013247,-0.67,0.59,-0.44,3.01,23
101,0,4,3,-0.00942382402718,0.0381602756679,0.0256269555539,-0.75,0.66,0.01,3.07,24
116,1,4,3,-0.00849511567503,0.0392567180097,0.0309073217213,-0.74,0.54,-0.4,4.56,25
131,1,4,3,-0.00710216909647,0.0344259738922,0.0289845429361,-0.73,0.69,0.0,4.61,26
146,0,4,3,-0.00192873575725,0.0365777537227,0.038821823895,-0.73,0.61,0.32,6.11,27
161,0,4,3,-0.00860460940748,0.0371868014336,0.0286103580147,-0.74,0.66,-0.15,2.62,28
176,0,4,3,-0.00710216909647,0.0344259738922,0.0289845429361,-0.72,0.64,-0.26,2.35,29
191,0,4,3,-0.00316845579073,0.0344798639417,0.0336186923087,-0.69,0.63,-0.36,2.47,30
206,0,4,3,-0.00710216909647,0.0344259738922,0.0289845429361,-0.72,0.66,-0.24,3.02,31
221,0,4,3,0.00338324671611,0.0335826091468,0.0383200831711,-0.74,0.62,0.26,8.15,32
