,expert,level,activity,x,y,z,dx,dy,dz,F,id
2,1,1,3,-0.00213839043863,0.0633389651775,0.0365570560098,-0.44,0.9,0.02,3.53,4
17,1,1,3,-0.000677770993207,0.06435611099,0.0341716334224,-0.46,0.89,-0.03,3.26,21
32,0,1,3,-0.00296576274559,0.0601763539016,0.0318879075348,-0.45,0.88,0.14,3.29,22
47,1,1,3,-0.000677770993207,0.06435611099,0.0341716334224,-0.54,0.79,-0.28,6.59,5
62,1,1,3,-0.00213839043863,0.0633389651775,0.0365570560098,-0.42,0.85,0.31,3.41,11
77,0,1,3,-0.00428765360266,0.0594342909753,0.0389728546143,-0.41,0.91,0.0,2.26,23
92,0,1,3,-0.00440398650244,0.0610377117991,0.041207678616,-0.44,0.9,0.05,2.65,24
107,1,1,3,-0.00202595046721,0.0610962510109,0.0287252422422,-0.45,0.75,-0.48,3.57,25
122,1,1,3,-0.00428765360266,0.0594342909753,0.0389728546143,-0.44,0.89,0.06,4.02,26
137,0,1,3,-0.00428765360266,0.0594342909753,0.0389728546143,-0.38,0.5,0.78,5.32,27
152,0,1,3,-0.00213839043863,0.0633389651775,0.0365570560098,-0.44,0.9,-0.02,2.87,28
167,0,1,3,-0.00249051302671,0.0618631690741,0.0341732539237,-0.45,0.86,-0.24,3.72,29
182,0,1,3,-0.0032739022281,0.0621333047748,0.0389234870672,-0.42,0.83,-0.36,2.42,30
197,0,1,3,-0.00545530254021,0.05969998613,0.0433526039124,-0.51,0.86,-0.05,5.54,31
212,0,1,3,-0.0013944033999,0.0493387170136,0.0218101032078,-0.49,0.79,-0.36,5.41,32
