,expert,level,activity,x,y,z,dx,dy,dz,F,id
14,1,5,3,-0.0133231310174,0.0116871679202,0.027723107487,-0.55,0.82,0.16,9.91,4
29,1,5,3,-0.010713881813,0.0146783487871,0.0189019553363,-0.39,0.91,-0.12,3.96,21
44,0,5,3,-0.0126570090652,0.0101770320907,0.0188583247364,-0.38,0.93,0.01,4.18,22
59,1,5,3,-0.0127477822825,0.0131728723645,0.0253199320287,-0.43,0.9,0.02,5.53,5
74,1,5,3,-0.0126570090652,0.0101770320907,0.0188583247364,-0.4,0.9,-0.16,3.64,11
89,0,5,3,-0.0130823068321,0.00730417156592,0.0209127720445,-0.34,0.9,-0.26,2.62,23
104,0,5,3,-0.0126570090652,0.0101770320907,0.0188583247364,-0.37,0.93,-0.01,4.74,24
119,1,5,3,-0.0126399677247,0.0101104937494,0.013014998287,-0.43,0.8,-0.42,4.71,25
134,1,5,3,-0.0132463946939,0.00815666560084,0.0257838200778,-0.44,0.85,0.31,8.32,26
149,0,5,3,-0.0109477723017,0.00398920988664,0.0376525297761,-0.39,0.87,0.31,5.67,27
164,0,5,3,-0.0132615864277,0.00792094971985,0.0173742882907,-0.37,0.86,-0.34,2.93,28
179,0,5,3,-0.0127598950639,0.0117177916691,0.0231104083359,-0.34,0.94,0.03,3.04,29
194,0,5,3,-0.0125773306936,0.0103024542332,0.0158973895013,-0.41,0.78,-0.48,3.27,30
209,0,5,3,-0.0127598950639,0.0117177916691,0.0231104083359,-0.38,0.91,0.18,4.98,31
224,0,5,3,-0.0118342526257,0.00322181358933,0.0258880294859,-0.46,0.78,0.42,10.0,32
