,expert,level,activity,x,y,z,dx,dy,dz,F,id
3,1,2,1,-0.0102140279487,0.012429648079,0.035460088402,-0.76,-0.49,0.42,4.7,4
18,1,2,1,-0.0105119077489,0.0148789957166,0.0366710945964,-0.73,-0.63,0.26,2.73,21
33,0,2,1,-0.0105895502493,0.017524112016,0.0378569588065,-0.72,-0.61,0.32,2.76,22
48,1,2,1,-0.0100328829139,0.0145745845512,0.0336766317487,-0.81,-0.57,0.16,4.5,5
63,1,2,1,-0.00940895732492,0.0199197288603,0.0362680889666,-0.72,-0.47,0.51,3.2,11
78,0,2,1,-0.00940895732492,0.0199197288603,0.0362680889666,-0.67,-0.52,0.53,1.77,23
93,0,2,1,-0.00940895732492,0.0199197288603,0.0362680889666,-0.72,-0.62,0.3,2.75,24
108,1,2,1,-0.00369899789803,0.0164764318615,0.0231615565717,-0.64,-0.62,0.45,3.33,25
123,1,2,1,-0.0105895502493,0.017524112016,0.0378569588065,-0.71,-0.52,0.47,3.42,26
138,0,2,1,-0.00315666408278,0.0327953584492,0.0492350533605,-0.66,-0.41,0.63,4.46,27
153,0,2,1,-0.00986874010414,0.0172126367688,0.0349036678672,-0.66,-0.6,0.45,2.14,28
168,0,2,1,-0.0103714382276,0.0125181963667,0.0383063219488,-0.69,-0.43,0.59,3.79,29
183,0,2,1,-0.0105895502493,0.017524112016,0.0378569588065,-0.75,-0.53,0.4,3.83,30
198,0,2,1,-0.0105119077489,0.0148789957166,0.0366710945964,-0.79,-0.53,0.3,4.26,31
213,0,2,1,-0.00831276737154,0.0193921755999,0.0333781279624,-0.8,-0.57,0.19,5.24,32
