,expert,level,activity,x,y,z,dx,dy,dz,F,id
8,1,3,3,-0.00828038528562,0.0433416515589,0.0501409545541,-0.3,0.95,0.07,6.2,4
23,1,3,3,-0.0108640417457,0.0407643802464,0.0468342378736,-0.27,0.9,-0.33,3.73,21
38,0,3,3,-0.0128574445844,0.0365421622992,0.043603092432,-0.13,0.98,0.16,3.75,22
53,1,3,3,-0.0108640417457,0.0407643802464,0.0468342378736,-0.24,0.96,0.14,4.98,5
68,1,3,3,-0.00828038528562,0.0433416515589,0.0501409545541,-0.26,0.97,0.01,4.73,11
83,0,3,3,-0.0104651162401,0.033164717257,0.0517304688692,-0.04,0.91,0.42,2.09,23
98,0,3,3,-0.0128574445844,0.0365421622992,0.043603092432,-0.19,0.98,-0.08,2.77,24
113,1,3,3,-0.00944666657597,0.0430526025593,0.0476431064308,-0.29,0.95,-0.14,3.61,25
128,1,3,3,-0.00967280380428,0.0385209843516,0.0520515553653,-0.19,0.88,0.44,5.72,26
143,0,3,3,-0.0123641081154,0.0364863909781,0.0461898259819,-0.15,0.86,0.49,4.73,27
158,0,3,3,-0.0119331218302,0.0386366955936,0.0453044213355,-0.16,0.99,0.0,2.52,28
173,0,3,3,-0.00718252267689,0.0461529530585,0.0433113053441,-0.25,0.94,-0.25,3.17,29
188,0,3,3,-0.00981306750327,0.0409470163286,0.0496378913522,-0.08,0.92,0.38,2.43,30
203,0,3,3,-0.0123641081154,0.0364863909781,0.0461898259819,-0.14,0.98,0.15,3.47,31
218,0,3,3,-0.0135241895914,0.0317554548383,0.0435099191964,-0.31,0.94,0.14,9.79,32
