,expert,level,activity,x,y,z,dx,dy,dz,F,id
1,1,1,2,-0.00296576274559,0.0601763539016,0.0318879075348,-0.76,-0.52,0.39,6.29,4
16,1,1,2,-0.00249051302671,0.0618631690741,0.0341732539237,-0.66,-0.73,-0.15,3.59,21
31,0,1,2,0.000923575425986,0.065274477005,0.0317731425166,-0.65,-0.72,0.25,3.35,22
46,1,1,2,-0.000677770993207,0.06435611099,0.0341716334224,-0.74,-0.67,0.02,5.29,5
61,1,1,2,-0.00296576274559,0.0601763539016,0.0318879075348,-0.61,-0.62,0.49,3.55,11
76,0,1,2,0.00239400658756,0.067182533443,0.036733739078,-0.64,-0.71,0.3,3.39,23
91,0,1,2,0.000923575425986,0.065274477005,0.0317731425166,-0.67,-0.74,0.12,2.76,24
106,1,1,2,0.000273419485893,0.0639867410064,0.0289110317826,-0.7,-0.7,0.15,3.84,25
121,1,1,2,0.00239400658756,0.067182533443,0.036733739078,-0.66,-0.74,0.1,4.35,26
136,0,1,2,-0.00363075034693,0.0536401048303,0.0301725622267,-0.77,-0.6,0.21,3.86,27
151,0,1,2,-0.00213839043863,0.0633389651775,0.0365570560098,-0.68,-0.73,0.02,3.32,28
166,0,1,2,-0.00213839043863,0.0633389651775,0.0365570560098,-0.64,-0.7,0.3,2.98,29
181,0,1,2,0.00239400658756,0.067182533443,0.036733739078,-0.74,-0.66,0.14,6.03,30
196,0,1,2,-0.00379523332231,0.0570800937712,0.0326816178858,-0.79,-0.62,-0.01,5.89,31
211,0,1,2,0.000273419485893,0.0639867410064,0.0289110317826,-0.8,-0.59,-0.09,6.4,32
