,expert,level,activity,x,y,z,dx,dy,dz,F,id
10,1,4,2,-0.00641826912761,0.0421566218138,0.0421793609858,-0.78,0.6,0.17,6.43,4
25,1,4,2,-0.00895150564611,0.0471065938473,0.0353895649314,-0.8,0.6,-0.1,4.2,21
40,0,4,2,-0.0044796760194,0.0386834219098,0.0381385162473,-0.73,0.68,0.03,3.82,22
55,1,4,2,-0.00502603920177,0.0402043238282,0.0429181829095,-0.81,0.58,-0.01,7.06,5
70,1,4,2,-0.00837524887174,0.0562127009034,0.039827156812,-0.79,0.61,0.02,3.62,11
85,0,4,2,-0.001596717746,0.0368654839694,0.0419881008565,-0.73,0.67,-0.16,3.23,23
100,0,4,2,-0.00641826912761,0.0421566218138,0.0421793609858,-0.74,0.67,-0.05,3.63,24
115,1,4,2,-0.00984436366707,0.0458678379655,0.0302383452654,-0.74,0.4,-0.54,4.46,25
130,1,4,2,-0.0048423553817,0.0399184823036,0.0456173233688,-0.74,0.63,0.23,5.03,26
145,0,4,2,-0.00429337192327,0.0398195274174,0.0508754700422,-0.73,0.57,0.38,5.62,27
160,0,4,2,-0.00546399131417,0.0405708253384,0.0402585156262,-0.73,0.68,0.0,2.93,28
175,0,4,2,-0.00618166616186,0.0416718907654,0.0473145544529,-0.76,0.64,-0.12,4.09,29
190,0,4,2,-0.00641826912761,0.0421566218138,0.0421793609858,-0.66,0.59,0.47,4.29,30
205,0,4,2,-0.00328892911784,0.0383320041001,0.0438337288797,-0.65,0.67,0.36,2.97,31
220,0,4,2,-0.001596717746,0.0368654839694,0.0419881008565,-0.8,0.59,0.13,8.13,32
