,expert,level,activity,x,y,z,dx,dy,dz,F,id
6,1,3,1,-0.00974379852414,0.039620667696,0.06598392874,-0.88,0.47,-0.02,4.92,4
21,1,3,1,-0.00777544127777,0.0374474003911,0.0579431019723,-0.81,0.59,-0.08,2.74,21
36,0,3,1,-0.00708706956357,0.0348906628788,0.061257623136,-0.79,0.6,-0.1,2.56,22
51,1,3,1,-0.00892214290798,0.0389683805406,0.062840513885,-0.86,0.5,0.13,4.76,5
66,1,3,1,-0.00892214290798,0.0389683805406,0.062840513885,-0.84,0.54,0.05,3.33,11
81,0,3,1,-0.0060899425298,0.0327137485147,0.0675308704376,-0.79,0.62,0.0,1.84,23
96,0,3,1,-0.00479245977476,0.0314515531063,0.0620455406606,-0.8,0.6,-0.04,2.78,24
111,1,3,1,-0.00787894427776,0.04011368379,0.0568180717528,-0.8,0.44,-0.41,3.65,25
126,1,3,1,-0.0060899425298,0.0327137485147,0.0675308704376,-0.8,0.54,0.27,3.96,26
141,0,3,1,-0.00670859403908,0.0326265655458,0.05794082582,-0.82,0.5,0.27,4.53,27
156,0,3,1,-0.00974379852414,0.039620667696,0.06598392874,-0.79,0.6,0.13,2.06,28
171,0,3,1,-0.00718382932246,0.0349992513657,0.0591245815158,-0.68,0.4,-0.61,2.23,29
186,0,3,1,-0.00535499025136,0.0320108346641,0.0647882297635,-0.69,0.41,0.6,4.35,30
201,0,3,1,-0.00479245977476,0.0314515531063,0.0620455406606,-0.77,0.633,0.12,2.68,31
216,0,3,1,-0.00299058365636,0.0299135614187,0.0636238083243,-0.76,0.62,0.17,5.5,32
